"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"7229","{""Q0"":""70""}","ftm","risky","survey-text","233","1839837","0.0-17.0-0.0","3325","115112","highRank"
"3810","{""Q0"":""50""}","ftm","safe","survey-text","234","1843655","0.0-17.0-0.1","3325","115112","highRank"
"4432","{""Q0"":""100""}","ftm","context","survey-text","235","1848097","0.0-17.0-0.2","3325","115112","highRank"
"3495","{""Q0"":""0""}","ftm","worst","survey-text","236","1851600","0.0-17.0-0.3","3325","115112","highRank"
