"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","choiceType","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","risky","safe","risky","100","10157","bandit","high_value","bandit-task","11","206640","0.0-7.0-0.0","79191","330941","highRank"
"2","1","2","false","risky","safe","safe","10","2485","bandit","low_value","bandit-task","12","212240","0.0-7.0-0.1","79191","330941","highRank"
"3","1","3","false","safe","risky","risky","20","2645","bandit","low_value","bandit-task","13","217824","0.0-7.0-0.2","79191","330941","highRank"
"4","1","4","false","risky","safe","risky","30","1717","bandit","decision","bandit-task","14","222377","0.0-7.0-0.3","79191","330941","highRank"
"5","1","5","false","safe","risky","safe","90","1157","bandit","high_value","bandit-task","15","226416","0.0-7.0-0.4","79191","330941","highRank"
"6","1","6","false","risky","safe","risky","20","1853","bandit","low_value","bandit-task","16","230960","0.0-7.0-0.5","79191","330941","highRank"
"7","1","7","false","safe","risky","safe","10","1581","bandit","low_value","bandit-task","17","235368","0.0-7.0-0.6","79191","330941","highRank"
"8","1","8","false","risky","safe","safe","50","1621","bandit","decision","bandit-task","18","239993","0.0-7.0-0.7","79191","330941","highRank"
"9","1","9","false","safe","risky","safe","10","1101","bandit","low_value","bandit-task","19","244280","0.0-7.0-0.8","79191","330941","highRank"
"10","1","10","false","risky","safe","safe","10","1342","bandit","low_value","bandit-task","20","248344","0.0-7.0-0.9","79191","330941","highRank"
"11","1","11","false","safe","risky","safe","50","1004","bandit","decision","bandit-task","21","252095","0.0-7.0-0.10","79191","330941","highRank"
"12","1","12","false","risky","safe","risky","20","1677","bandit","low_value","bandit-task","22","256431","0.0-7.0-0.11","79191","330941","highRank"
"13","1","13","false","risky","safe","risky","0","957","bandit","low_value","bandit-task","23","259919","0.0-7.0-0.12","79191","330941","highRank"
"14","1","14","false","safe","risky","safe","10","1558","bandit","low_value","bandit-task","24","264199","0.0-7.0-0.13","79191","330941","highRank"
"15","1","15","false","risky","safe","risky","20","1157","bandit","low_value","bandit-task","25","267903","0.0-7.0-0.14","79191","330941","highRank"
"16","1","16","false","safe","risky","safe","10","1070","bandit","low_value","bandit-task","26","271759","0.0-7.0-0.15","79191","330941","highRank"
"17","1","17","false","risky","safe","safe","10","1085","bandit","low_value","bandit-task","27","275415","0.0-7.0-0.16","79191","330941","highRank"
"18","1","18","false","safe","risky","safe","10","2972","bandit","low_value","bandit-task","28","280959","0.0-7.0-0.17","79191","330941","highRank"
"19","1","19","false","risky","safe","risky","0","1637","bandit","low_value","bandit-task","29","285311","0.0-7.0-0.18","79191","330941","highRank"
"20","1","20","false","risky","safe","risky","20","1878","bandit","low_value","bandit-task","30","290015","0.0-7.0-0.19","79191","330941","highRank"
"21","1","21","false","safe","risky","risky","80","2430","bandit","high_value","bandit-task","31","295847","0.0-7.0-0.20","79191","330941","highRank"
"22","1","22","false","safe","risky","safe","10","1301","bandit","low_value","bandit-task","32","300350","0.0-7.0-0.21","79191","330941","highRank"
"23","1","23","false","risky","safe","safe","50","1397","bandit","decision","bandit-task","33","305119","0.0-7.0-0.22","79191","330941","highRank"
"24","1","24","false","safe","risky","safe","50","1388","bandit","decision","bandit-task","34","309894","0.0-7.0-0.23","79191","330941","highRank"
"25","1","25","false","safe","risky","safe","10","997","bandit","low_value","bandit-task","35","313438","0.0-7.0-0.24","79191","330941","highRank"
"26","1","26","false","risky","safe","risky","20","2069","bandit","low_value","bandit-task","36","318622","0.0-7.0-0.25","79191","330941","highRank"
"27","1","27","false","safe","risky","safe","10","965","bandit","low_value","bandit-task","37","322142","0.0-7.0-0.26","79191","330941","highRank"
"28","1","28","false","safe","risky","safe","50","1021","bandit","decision","bandit-task","38","325734","0.0-7.0-0.27","79191","330941","highRank"
"29","1","29","false","safe","risky","safe","90","1069","bandit","high_value","bandit-task","39","329606","0.0-7.0-0.28","79191","330941","highRank"
"30","1","30","false","risky","safe","risky","70","1108","bandit","decision","bandit-task","40","333653","0.0-7.0-0.29","79191","330941","highRank"
"31","1","31","false","safe","risky","safe","50","812","bandit","decision","bandit-task","41","336990","0.0-7.0-0.30","79191","330941","highRank"
"32","1","32","false","risky","safe","risky","70","708","bandit","decision","bandit-task","42","340445","0.0-7.0-0.31","79191","330941","highRank"
"33","1","33","false","risky","safe","risky","30","702","bandit","decision","bandit-task","43","343709","0.0-7.0-0.32","79191","330941","highRank"
"34","1","34","false","risky","safe","risky","30","725","bandit","decision","bandit-task","44","347181","0.0-7.0-0.33","79191","330941","highRank"
"35","1","35","false","risky","safe","safe","50","821","bandit","decision","bandit-task","45","350606","0.0-7.0-0.34","79191","330941","highRank"
"36","1","36","false","safe","risky","risky","0","652","bandit","low_value","bandit-task","46","353765","0.0-7.0-0.35","79191","330941","highRank"
"37","2","1","false","safe","risky","safe","10","1566","bandit","low_value","bandit-task","48","362037","0.0-9.0-0.0","79191","330941","highRank"
"38","2","2","false","risky","safe","safe","10","643","bandit","low_value","bandit-task","49","365285","0.0-9.0-0.1","79191","330941","highRank"
"39","2","3","false","risky","safe","safe","50","701","bandit","decision","bandit-task","50","368525","0.0-9.0-0.2","79191","330941","highRank"
"40","2","4","false","safe","risky","risky","20","590","bandit","low_value","bandit-task","51","371676","0.0-9.0-0.3","79191","330941","highRank"
"41","2","5","false","safe","risky","safe","10","725","bandit","low_value","bandit-task","52","374989","0.0-9.0-0.4","79191","330941","highRank"
"42","2","6","false","safe","risky","safe","10","612","bandit","low_value","bandit-task","53","378068","0.0-9.0-0.5","79191","330941","highRank"
"43","2","7","false","risky","safe","risky","70","582","bandit","decision","bandit-task","54","381284","0.0-9.0-0.6","79191","330941","highRank"
"44","2","8","false","risky","safe","risky","30","581","bandit","decision","bandit-task","55","384652","0.0-9.0-0.7","79191","330941","highRank"
"45","2","9","false","risky","safe","risky","70","580","bandit","decision","bandit-task","56","387740","0.0-9.0-0.8","79191","330941","highRank"
"46","2","10","false","safe","risky","safe","10","629","bandit","low_value","bandit-task","57","391116","0.0-9.0-0.9","79191","330941","highRank"
"47","2","11","false","safe","risky","risky","0","845","bandit","low_value","bandit-task","58","394788","0.0-9.0-0.10","79191","330941","highRank"
"48","2","12","false","risky","safe","safe","10","548","bandit","low_value","bandit-task","59","398084","0.0-9.0-0.11","79191","330941","highRank"
"49","2","13","false","safe","risky","risky","20","590","bandit","low_value","bandit-task","60","401212","0.0-9.0-0.12","79191","330941","highRank"
"50","2","14","false","risky","safe","risky","30","565","bandit","decision","bandit-task","61","404548","0.0-9.0-0.13","79191","330941","highRank"
"51","2","15","false","risky","safe","safe","10","630","bandit","low_value","bandit-task","62","407780","0.0-9.0-0.14","79191","330941","highRank"
"52","2","16","false","risky","safe","risky","30","637","bandit","decision","bandit-task","63","410940","0.0-9.0-0.15","79191","330941","highRank"
"53","2","17","false","safe","risky","safe","10","901","bandit","low_value","bandit-task","64","414508","0.0-9.0-0.16","79191","330941","highRank"
"54","2","18","false","risky","safe","risky","0","686","bandit","low_value","bandit-task","65","417828","0.0-9.0-0.17","79191","330941","highRank"
"55","2","19","false","safe","risky","safe","50","709","bandit","decision","bandit-task","66","421180","0.0-9.0-0.18","79191","330941","highRank"
"56","2","20","false","safe","risky","safe","10","909","bandit","low_value","bandit-task","67","424884","0.0-9.0-0.19","79191","330941","highRank"
"57","2","21","false","safe","risky","safe","50","1029","bandit","decision","bandit-task","68","428564","0.0-9.0-0.20","79191","330941","highRank"
"58","2","22","false","safe","risky","risky","20","1421","bandit","low_value","bandit-task","69","432658","0.0-9.0-0.21","79191","330941","highRank"
"59","2","23","false","safe","risky","safe","50","741","bandit","decision","bandit-task","70","435914","0.0-9.0-0.22","79191","330941","highRank"
"60","2","24","false","risky","safe","safe","90","1757","bandit","high_value","bandit-task","71","440787","0.0-9.0-0.23","79191","330941","highRank"
"61","2","25","false","risky","safe","risky","30","852","bandit","decision","bandit-task","72","444410","0.0-9.0-0.24","79191","330941","highRank"
"62","2","26","false","risky","safe","safe","10","933","bandit","low_value","bandit-task","73","447842","0.0-9.0-0.25","79191","330941","highRank"
"63","2","27","false","risky","safe","risky","20","589","bandit","low_value","bandit-task","74","450922","0.0-9.0-0.26","79191","330941","highRank"
"64","2","28","false","safe","risky","safe","10","1029","bandit","low_value","bandit-task","75","454442","0.0-9.0-0.27","79191","330941","highRank"
"65","2","29","false","safe","risky","safe","90","1581","bandit","high_value","bandit-task","76","458778","0.0-9.0-0.28","79191","330941","highRank"
"66","2","30","false","risky","safe","risky","0","821","bandit","low_value","bandit-task","77","462170","0.0-9.0-0.29","79191","330941","highRank"
"67","2","31","false","risky","safe","risky","20","653","bandit","low_value","bandit-task","78","465299","0.0-9.0-0.30","79191","330941","highRank"
"68","2","32","false","risky","safe","risky","0","788","bandit","low_value","bandit-task","79","468634","0.0-9.0-0.31","79191","330941","highRank"
"69","2","33","false","safe","risky","safe","50","981","bandit","decision","bandit-task","80","472290","0.0-9.0-0.32","79191","330941","highRank"
"70","2","34","false","risky","safe","risky","70","1349","bandit","decision","bandit-task","81","476634","0.0-9.0-0.33","79191","330941","highRank"
"71","2","35","false","risky","safe","safe","90","1172","bandit","high_value","bandit-task","82","480674","0.0-9.0-0.34","79191","330941","highRank"
"72","2","36","false","risky","safe","safe","90","901","bandit","high_value","bandit-task","83","484474","0.0-9.0-0.35","79191","330941","highRank"
"73","3","1","false","risky","safe","safe","50","1183","bandit","decision","bandit-task","85","491346","0.0-11.0-0.0","79191","330941","highRank"
"74","3","2","false","risky","safe","safe","90","941","bandit","high_value","bandit-task","86","495370","0.0-11.0-0.1","79191","330941","highRank"
"75","3","3","false","risky","safe","safe","50","1476","bandit","decision","bandit-task","87","499961","0.0-11.0-0.2","79191","330941","highRank"
"76","3","4","false","safe","risky","risky","20","10516","bandit","low_value","bandit-task","88","514041","0.0-11.0-0.3","79191","330941","highRank"
"77","3","5","false","risky","safe","risky","0","1196","bandit","low_value","bandit-task","89","518705","0.0-11.0-0.4","79191","330941","highRank"
"78","3","6","false","risky","safe","risky","30","1085","bandit","decision","bandit-task","90","522937","0.0-11.0-0.5","79191","330941","highRank"
"79","3","7","false","safe","risky","safe","50","1253","bandit","decision","bandit-task","91","527065","0.0-11.0-0.6","79191","330941","highRank"
"80","3","8","false","safe","risky","safe","50","884","bandit","decision","bandit-task","92","530681","0.0-11.0-0.7","79191","330941","highRank"
"81","3","9","false","risky","safe","safe","90","901","bandit","high_value","bandit-task","93","534521","0.0-11.0-0.8","79191","330941","highRank"
"82","3","10","false","risky","safe","safe","10","2221","bandit","low_value","bandit-task","94","539713","0.0-11.0-0.9","79191","330941","highRank"
"83","3","11","false","risky","safe","risky","20","1341","bandit","low_value","bandit-task","95","543721","0.0-11.0-0.10","79191","330941","highRank"
"84","3","12","false","risky","safe","safe","50","1500","bandit","decision","bandit-task","96","548025","0.0-11.0-0.11","79191","330941","highRank"
"85","3","13","false","safe","risky","safe","90","853","bandit","high_value","bandit-task","97","551624","0.0-11.0-0.12","79191","330941","highRank"
"86","3","14","false","risky","safe","risky","0","1052","bandit","low_value","bandit-task","98","555407","0.0-11.0-0.13","79191","330941","highRank"
"87","3","15","false","risky","safe","safe","10","869","bandit","low_value","bandit-task","99","559432","0.0-11.0-0.14","79191","330941","highRank"
"88","3","16","false","risky","safe","safe","50","1385","bandit","decision","bandit-task","100","563351","0.0-11.0-0.15","79191","330941","highRank"
"89","3","17","false","risky","safe","safe","10","796","bandit","low_value","bandit-task","101","566959","0.0-11.0-0.16","79191","330941","highRank"
"90","3","18","false","risky","safe","safe","10","1052","bandit","low_value","bandit-task","102","570759","0.0-11.0-0.17","79191","330941","highRank"
"91","3","19","false","safe","risky","safe","10","1068","bandit","low_value","bandit-task","103","574559","0.0-11.0-0.18","79191","330941","highRank"
"92","3","20","false","safe","risky","safe","10","900","bandit","low_value","bandit-task","104","578255","0.0-11.0-0.19","79191","330941","highRank"
"93","3","21","false","safe","risky","risky","70","996","bandit","decision","bandit-task","105","582071","0.0-11.0-0.20","79191","330941","highRank"
"94","3","22","false","risky","safe","risky","70","972","bandit","decision","bandit-task","106","585703","0.0-11.0-0.21","79191","330941","highRank"
"95","3","23","false","safe","risky","safe","10","1709","bandit","low_value","bandit-task","107","589952","0.0-11.0-0.22","79191","330941","highRank"
"96","3","24","false","risky","safe","risky","20","1643","bandit","low_value","bandit-task","108","594511","0.0-11.0-0.23","79191","330941","highRank"
"97","3","25","false","risky","safe","risky","0","788","bandit","low_value","bandit-task","109","597959","0.0-11.0-0.24","79191","330941","highRank"
"98","3","26","false","risky","safe","risky","0","1093","bandit","low_value","bandit-task","110","601527","0.0-11.0-0.25","79191","330941","highRank"
"99","3","27","false","risky","safe","safe","10","925","bandit","low_value","bandit-task","111","605031","0.0-11.0-0.26","79191","330941","highRank"
"100","3","28","false","risky","safe","safe","10","916","bandit","low_value","bandit-task","112","608639","0.0-11.0-0.27","79191","330941","highRank"
"101","3","29","false","risky","safe","risky","30","1461","bandit","decision","bandit-task","113","612647","0.0-11.0-0.28","79191","330941","highRank"
