"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","choiceType","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","safe","risky","safe","10","2813","bandit","low_value","bandit-task","8","134837","0.0-7.0-0.0","56205","819313","highRank"
"2","1","2","false","safe","risky","risky","100","2365","bandit","high_value","bandit-task","9","140300","0.0-7.0-0.1","56205","819313","highRank"
"3","1","3","false","safe","risky","risky","70","2950","bandit","decision","bandit-task","10","146077","0.0-7.0-0.2","56205","819313","highRank"
"4","1","4","false","safe","risky","safe","10","2142","bandit","low_value","bandit-task","11","151085","0.0-7.0-0.3","56205","819313","highRank"
"5","1","5","false","safe","risky","risky","70","1830","bandit","decision","bandit-task","12","155790","0.0-7.0-0.4","56205","819313","highRank"
"6","1","6","false","risky","safe","safe","10","2005","bandit","low_value","bandit-task","13","160485","0.0-7.0-0.5","56205","819313","highRank"
"7","1","7","false","safe","risky","risky","30","1463","bandit","decision","bandit-task","14","164805","0.0-7.0-0.6","56205","819313","highRank"
"8","1","8","false","safe","risky","safe","10","3374","bandit","low_value","bandit-task","15","170846","0.0-7.0-0.7","56205","819313","highRank"
"9","1","9","false","risky","safe","risky","0","1230","bandit","low_value","bandit-task","16","174830","0.0-7.0-0.8","56205","819313","highRank"
"10","1","10","false","risky","safe","safe","10","2222","bandit","low_value","bandit-task","17","179934","0.0-7.0-0.9","56205","819313","highRank"
"11","1","11","false","risky","safe","safe","50","2206","bandit","decision","bandit-task","18","184782","0.0-7.0-0.10","56205","819313","highRank"
"12","1","12","false","safe","risky","risky","20","3325","bandit","low_value","bandit-task","19","190926","0.0-7.0-0.11","56205","819313","highRank"
"13","1","13","false","safe","risky","risky","70","2310","bandit","decision","bandit-task","20","195902","0.0-7.0-0.12","56205","819313","highRank"
"14","1","14","false","safe","risky","risky","30","1694","bandit","decision","bandit-task","21","200151","0.0-7.0-0.13","56205","819313","highRank"
"15","1","15","false","safe","risky","risky","0","1894","bandit","low_value","bandit-task","22","204727","0.0-7.0-0.14","56205","819313","highRank"
"16","1","16","false","risky","safe","safe","10","1230","bandit","low_value","bandit-task","23","208471","0.0-7.0-0.15","56205","819313","highRank"
"17","1","17","false","safe","risky","risky","80","1510","bandit","high_value","bandit-task","24","212712","0.0-7.0-0.16","56205","819313","highRank"
"18","1","18","false","safe","risky","risky","30","1436","bandit","decision","bandit-task","25","216599","0.0-7.0-0.17","56205","819313","highRank"
"19","1","19","false","safe","risky","risky","100","1375","bandit","high_value","bandit-task","26","220647","0.0-7.0-0.18","56205","819313","highRank"
"20","1","20","false","safe","risky","safe","10","1958","bandit","low_value","bandit-task","27","225096","0.0-7.0-0.19","56205","819313","highRank"
"21","1","21","false","safe","risky","risky","30","1206","bandit","decision","bandit-task","28","228817","0.0-7.0-0.20","56205","819313","highRank"
"22","1","22","false","safe","risky","risky","30","1156","bandit","decision","bandit-task","29","232624","0.0-7.0-0.21","56205","819313","highRank"
"23","1","23","false","safe","risky","risky","100","1574","bandit","high_value","bandit-task","30","237136","0.0-7.0-0.22","56205","819313","highRank"
"24","1","24","false","safe","risky","safe","10","2271","bandit","low_value","bandit-task","31","242113","0.0-7.0-0.23","56205","819313","highRank"
"25","1","25","false","safe","risky","safe","10","1334","bandit","low_value","bandit-task","32","245993","0.0-7.0-0.24","56205","819313","highRank"
"26","1","26","false","risky","safe","risky","30","2478","bandit","decision","bandit-task","33","250993","0.0-7.0-0.25","56205","819313","highRank"
"27","1","27","false","safe","risky","safe","10","1582","bandit","low_value","bandit-task","34","255761","0.0-7.0-0.26","56205","819313","highRank"
"28","1","28","false","safe","risky","safe","10","1310","bandit","low_value","bandit-task","35","259618","0.0-7.0-0.27","56205","819313","highRank"
"29","1","29","false","risky","safe","safe","10","1158","bandit","low_value","bandit-task","36","263626","0.0-7.0-0.28","56205","819313","highRank"
"30","1","30","false","safe","risky","safe","50","3678","bandit","decision","bandit-task","37","270026","0.0-7.0-0.29","56205","819313","highRank"
"31","1","31","false","safe","risky","safe","10","1870","bandit","low_value","bandit-task","38","274890","0.0-7.0-0.30","56205","819313","highRank"
"32","1","32","false","safe","risky","safe","10","1181","bandit","low_value","bandit-task","39","278522","0.0-7.0-0.31","56205","819313","highRank"
"33","1","33","false","safe","risky","safe","10","1078","bandit","low_value","bandit-task","40","282298","0.0-7.0-0.32","56205","819313","highRank"
"34","1","34","false","safe","risky","safe","10","1013","bandit","low_value","bandit-task","41","285819","0.0-7.0-0.33","56205","819313","highRank"
"35","1","35","false","risky","safe","safe","50","2478","bandit","decision","bandit-task","42","291011","0.0-7.0-0.34","56205","819313","highRank"
"36","1","36","false","risky","safe","safe","10","1766","bandit","low_value","bandit-task","43","295299","0.0-7.0-0.35","56205","819313","highRank"
"37","2","1","false","risky","safe","safe","50","1687","bandit","decision","bandit-task","45","309043","0.0-9.0-0.0","56205","819313","highRank"
"38","2","2","false","risky","safe","safe","50","807","bandit","decision","bandit-task","46","312460","0.0-9.0-0.1","56205","819313","highRank"
"39","2","3","false","safe","risky","safe","50","1006","bandit","decision","bandit-task","47","315988","0.0-9.0-0.2","56205","819313","highRank"
"40","2","4","false","risky","safe","safe","10","1422","bandit","low_value","bandit-task","48","319852","0.0-9.0-0.3","56205","819313","highRank"
"41","2","5","false","safe","risky","risky","80","1707","bandit","high_value","bandit-task","49","324180","0.0-9.0-0.4","56205","819313","highRank"
"42","2","6","false","risky","safe","safe","50","2534","bandit","decision","bandit-task","50","329244","0.0-9.0-0.5","56205","819313","highRank"
"43","2","7","false","risky","safe","safe","50","902","bandit","decision","bandit-task","51","332620","0.0-9.0-0.6","56205","819313","highRank"
"44","2","8","false","risky","safe","safe","50","886","bandit","decision","bandit-task","52","336133","0.0-9.0-0.7","56205","819313","highRank"
"45","2","9","false","risky","safe","safe","50","702","bandit","decision","bandit-task","53","339317","0.0-9.0-0.8","56205","819313","highRank"
"46","2","10","false","risky","safe","safe","10","1302","bandit","low_value","bandit-task","54","343213","0.0-9.0-0.9","56205","819313","highRank"
"47","2","11","false","safe","risky","safe","10","1038","bandit","low_value","bandit-task","55","346758","0.0-9.0-0.10","56205","819313","highRank"
"48","2","12","false","safe","risky","risky","100","2109","bandit","high_value","bandit-task","56","351741","0.0-9.0-0.11","56205","819313","highRank"
"49","2","13","false","risky","safe","safe","10","1086","bandit","low_value","bandit-task","57","355373","0.0-9.0-0.12","56205","819313","highRank"
"50","2","14","false","safe","risky","safe","10","1782","bandit","low_value","bandit-task","58","359766","0.0-9.0-0.13","56205","819313","highRank"
"51","2","15","false","risky","safe","safe","50","1798","bandit","decision","bandit-task","59","364222","0.0-9.0-0.14","56205","819313","highRank"
"52","2","16","false","risky","safe","safe","10","1621","bandit","low_value","bandit-task","60","368510","0.0-9.0-0.15","56205","819313","highRank"
"53","2","17","false","safe","risky","safe","10","878","bandit","low_value","bandit-task","61","372046","0.0-9.0-0.16","56205","819313","highRank"
"54","2","18","false","risky","safe","safe","50","1094","bandit","decision","bandit-task","62","375798","0.0-9.0-0.17","56205","819313","highRank"
"55","2","19","false","safe","risky","safe","10","1229","bandit","low_value","bandit-task","63","379558","0.0-9.0-0.18","56205","819313","highRank"
"56","2","20","false","safe","risky","safe","10","934","bandit","low_value","bandit-task","64","383311","0.0-9.0-0.19","56205","819313","highRank"
"57","2","21","false","risky","safe","risky","80","1070","bandit","high_value","bandit-task","65","386879","0.0-9.0-0.20","56205","819313","highRank"
"58","2","22","false","safe","risky","safe","10","974","bandit","low_value","bandit-task","66","390830","0.0-9.0-0.21","56205","819313","highRank"
"59","2","23","false","safe","risky","risky","100","910","bandit","high_value","bandit-task","67","394679","0.0-9.0-0.22","56205","819313","highRank"
"60","2","24","false","safe","risky","safe","10","917","bandit","low_value","bandit-task","68","398503","0.0-9.0-0.23","56205","819313","highRank"
"61","2","25","false","safe","risky","safe","50","1422","bandit","decision","bandit-task","69","402607","0.0-9.0-0.24","56205","819313","highRank"
"62","2","26","false","safe","risky","safe","10","1103","bandit","low_value","bandit-task","70","406279","0.0-9.0-0.25","56205","819313","highRank"
"63","2","27","false","safe","risky","safe","10","734","bandit","low_value","bandit-task","71","409799","0.0-9.0-0.26","56205","819313","highRank"
"64","2","28","false","safe","risky","safe","50","3022","bandit","decision","bandit-task","72","415319","0.0-9.0-0.27","56205","819313","highRank"
"65","2","29","false","safe","risky","safe","10","958","bandit","low_value","bandit-task","73","418888","0.0-9.0-0.28","56205","819313","highRank"
"66","2","30","false","risky","safe","safe","50","1062","bandit","decision","bandit-task","74","423000","0.0-9.0-0.29","56205","819313","highRank"
"67","2","31","false","safe","risky","safe","10","925","bandit","low_value","bandit-task","75","426593","0.0-9.0-0.30","56205","819313","highRank"
"68","2","32","false","risky","safe","safe","10","1022","bandit","low_value","bandit-task","76","430401","0.0-9.0-0.31","56205","819313","highRank"
"69","2","33","false","risky","safe","safe","10","853","bandit","low_value","bandit-task","77","433906","0.0-9.0-0.32","56205","819313","highRank"
"70","2","34","false","risky","safe","safe","10","765","bandit","low_value","bandit-task","78","437201","0.0-9.0-0.33","56205","819313","highRank"
"71","2","35","false","risky","safe","safe","10","814","bandit","low_value","bandit-task","79","440457","0.0-9.0-0.34","56205","819313","highRank"
"72","2","36","false","risky","safe","safe","10","774","bandit","low_value","bandit-task","80","443722","0.0-9.0-0.35","56205","819313","highRank"
"73","3","1","false","safe","risky","safe","50","1375","bandit","decision","bandit-task","82","450186","0.0-11.0-0.0","56205","819313","highRank"
"74","3","2","false","safe","risky","safe","10","974","bandit","low_value","bandit-task","83","453706","0.0-11.0-0.1","56205","819313","highRank"
"75","3","3","false","risky","safe","safe","10","845","bandit","low_value","bandit-task","84","457162","0.0-11.0-0.2","56205","819313","highRank"
"76","3","4","false","safe","risky","safe","10","694","bandit","low_value","bandit-task","85","460442","0.0-11.0-0.3","56205","819313","highRank"
"77","3","5","false","safe","risky","safe","10","725","bandit","low_value","bandit-task","86","463827","0.0-11.0-0.4","56205","819313","highRank"
"78","3","6","false","safe","risky","safe","50","1037","bandit","decision","bandit-task","87","467363","0.0-11.0-0.5","56205","819313","highRank"
"79","3","7","false","risky","safe","risky","80","1030","bandit","high_value","bandit-task","88","471067","0.0-11.0-0.6","56205","819313","highRank"
"80","3","8","false","safe","risky","safe","10","877","bandit","low_value","bandit-task","89","474427","0.0-11.0-0.7","56205","819313","highRank"
"81","3","9","false","safe","risky","safe","50","791","bandit","decision","bandit-task","90","477675","0.0-11.0-0.8","56205","819313","highRank"
"82","3","10","false","risky","safe","safe","10","1309","bandit","low_value","bandit-task","91","481603","0.0-11.0-0.9","56205","819313","highRank"
"83","3","11","false","safe","risky","safe","50","3317","bandit","decision","bandit-task","92","487619","0.0-11.0-0.10","56205","819313","highRank"
"84","3","12","false","risky","safe","risky","100","3086","bandit","high_value","bandit-task","93","493387","0.0-11.0-0.11","56205","819313","highRank"
"85","3","13","false","risky","safe","safe","10","1030","bandit","low_value","bandit-task","94","497020","0.0-11.0-0.12","56205","819313","highRank"
"86","3","14","false","safe","risky","safe","50","862","bandit","decision","bandit-task","95","500452","0.0-11.0-0.13","56205","819313","highRank"
"87","3","15","false","risky","safe","safe","10","869","bandit","low_value","bandit-task","96","503956","0.0-11.0-0.14","56205","819313","highRank"
"88","3","16","false","safe","risky","risky","80","1102","bandit","high_value","bandit-task","97","507612","0.0-11.0-0.15","56205","819313","highRank"
"89","3","17","false","safe","risky","safe","10","982","bandit","low_value","bandit-task","98","511212","0.0-11.0-0.16","56205","819313","highRank"
