"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","choiceType","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","risky","safe","risky","80","3333","bandit","high_value","bandit-task","8","173910","0.0-7.0-0.0","70593","856722","lowRank"
"2","1","2","false","safe","risky","safe","10","3742","bandit","low_value","bandit-task","9","180702","0.0-7.0-0.1","70593","856722","lowRank"
"3","1","3","false","risky","safe","risky","100","2046","bandit","high_value","bandit-task","10","186006","0.0-7.0-0.2","70593","856722","lowRank"
"4","1","4","false","safe","risky","risky","80","2399","bandit","high_value","bandit-task","11","191454","0.0-7.0-0.3","70593","856722","lowRank"
"5","1","5","false","risky","safe","risky","0","1687","bandit","low_value","bandit-task","12","196335","0.0-7.0-0.4","70593","856722","lowRank"
"6","1","6","false","risky","safe","safe","10","933","bandit","low_value","bandit-task","13","200302","0.0-7.0-0.5","70593","856722","lowRank"
"7","1","7","false","safe","risky","safe","50","2878","bandit","decision","bandit-task","14","206063","0.0-7.0-0.6","70593","856722","lowRank"
"8","1","8","false","safe","risky","risky","80","1301","bandit","high_value","bandit-task","15","209942","0.0-7.0-0.7","70593","856722","lowRank"
"9","1","9","false","safe","risky","risky","100","1320","bandit","high_value","bandit-task","16","213942","0.0-7.0-0.8","70593","856722","lowRank"
"10","1","10","false","risky","safe","risky","80","1293","bandit","high_value","bandit-task","17","217814","0.0-7.0-0.9","70593","856722","lowRank"
"11","1","11","false","safe","risky","risky","70","5519","bandit","decision","bandit-task","18","226166","0.0-7.0-0.10","70593","856722","lowRank"
"12","1","12","false","safe","risky","risky","100","1102","bandit","high_value","bandit-task","19","229798","0.0-7.0-0.11","70593","856722","lowRank"
"13","1","13","false","safe","risky","safe","10","2167","bandit","low_value","bandit-task","20","234446","0.0-7.0-0.12","70593","856722","lowRank"
"14","1","14","false","risky","safe","risky","100","1063","bandit","high_value","bandit-task","21","238183","0.0-7.0-0.13","70593","856722","lowRank"
"15","1","15","false","risky","safe","risky","30","1167","bandit","decision","bandit-task","22","242553","0.0-7.0-0.14","70593","856722","lowRank"
"16","1","16","false","risky","safe","risky","100","995","bandit","high_value","bandit-task","23","246510","0.0-7.0-0.15","70593","856722","lowRank"
"17","1","17","false","risky","safe","risky","80","902","bandit","high_value","bandit-task","24","250063","0.0-7.0-0.16","70593","856722","lowRank"
"18","1","18","false","risky","safe","risky","80","902","bandit","high_value","bandit-task","25","253726","0.0-7.0-0.17","70593","856722","lowRank"
"19","1","19","false","safe","risky","risky","100","919","bandit","high_value","bandit-task","26","257086","0.0-7.0-0.18","70593","856722","lowRank"
"20","1","20","false","safe","risky","safe","50","1958","bandit","decision","bandit-task","27","261598","0.0-7.0-0.19","70593","856722","lowRank"
"21","1","21","false","risky","safe","safe","50","4556","bandit","decision","bandit-task","28","268686","0.0-7.0-0.20","70593","856722","lowRank"
"22","1","22","false","safe","risky","risky","30","832","bandit","decision","bandit-task","29","271926","0.0-7.0-0.21","70593","856722","lowRank"
"23","1","23","false","safe","risky","safe","50","710","bandit","decision","bandit-task","30","275334","0.0-7.0-0.22","70593","856722","lowRank"
"24","1","24","false","safe","risky","safe","50","711","bandit","decision","bandit-task","31","278638","0.0-7.0-0.23","70593","856722","lowRank"
"25","1","25","false","safe","risky","risky","100","934","bandit","high_value","bandit-task","32","282093","0.0-7.0-0.24","70593","856722","lowRank"
"26","1","26","false","safe","risky","safe","50","735","bandit","decision","bandit-task","33","285366","0.0-7.0-0.25","70593","856722","lowRank"
"27","1","27","false","safe","risky","risky","80","919","bandit","high_value","bandit-task","34","288782","0.0-7.0-0.26","70593","856722","lowRank"
"28","1","28","false","safe","risky","safe","50","790","bandit","decision","bandit-task","35","291999","0.0-7.0-0.27","70593","856722","lowRank"
"29","1","29","false","risky","safe","safe","50","1039","bandit","decision","bandit-task","36","295973","0.0-7.0-0.28","70593","856722","lowRank"
"30","1","30","false","safe","risky","safe","50","990","bandit","decision","bandit-task","37","299737","0.0-7.0-0.29","70593","856722","lowRank"
