"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","choiceType","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","safe","risky","risky","0","3596","bandit","low_value","bandit-task","8","171739","0.0-7.0-0.0","9073","402879","highRank"
"2","1","2","false","risky","safe","risky","80","1777","bandit","high_value","bandit-task","9","177446","0.0-7.0-0.1","9073","402879","highRank"
"3","1","3","false","safe","risky","risky","30","1983","bandit","decision","bandit-task","10","182662","0.0-7.0-0.2","9073","402879","highRank"
"4","1","4","false","risky","safe","risky","20","1597","bandit","low_value","bandit-task","11","187118","0.0-7.0-0.3","9073","402879","highRank"
"5","1","5","false","safe","risky","risky","20","1276","bandit","low_value","bandit-task","12","191285","0.0-7.0-0.4","9073","402879","highRank"
"6","1","6","false","risky","safe","risky","0","1664","bandit","low_value","bandit-task","13","196003","0.0-7.0-0.5","9073","402879","highRank"
"7","1","7","false","risky","safe","risky","30","1132","bandit","decision","bandit-task","14","200158","0.0-7.0-0.6","9073","402879","highRank"
"8","1","8","false","risky","safe","risky","0","1236","bandit","low_value","bandit-task","15","205814","0.0-7.0-0.7","9073","402879","highRank"
"9","1","9","false","safe","risky","risky","0","905","bandit","low_value","bandit-task","16","209392","0.0-7.0-0.8","9073","402879","highRank"
"10","1","10","false","risky","safe","risky","30","12211","bandit","decision","bandit-task","17","229511","0.0-7.0-0.9","9073","402879","highRank"
"11","1","11","false","safe","risky","risky","30","1071","bandit","decision","bandit-task","18","234395","0.0-7.0-0.10","9073","402879","highRank"
"12","1","12","false","risky","safe","risky","0","1812","bandit","low_value","bandit-task","19","239017","0.0-7.0-0.11","9073","402879","highRank"
"13","1","13","false","risky","safe","risky","70","1801","bandit","decision","bandit-task","20","243699","0.0-7.0-0.12","9073","402879","highRank"
"14","1","14","false","safe","risky","safe","10","2613","bandit","low_value","bandit-task","21","249244","0.0-7.0-0.13","9073","402879","highRank"
"15","1","15","false","safe","risky","risky","30","1346","bandit","decision","bandit-task","22","253406","0.0-7.0-0.14","9073","402879","highRank"
"16","1","16","false","safe","risky","risky","70","1103","bandit","decision","bandit-task","23","257238","0.0-7.0-0.15","9073","402879","highRank"
"17","1","17","false","safe","risky","risky","0","1047","bandit","low_value","bandit-task","24","260781","0.0-7.0-0.16","9073","402879","highRank"
"18","1","18","false","risky","safe","safe","10","1058","bandit","low_value","bandit-task","25","264853","0.0-7.0-0.17","9073","402879","highRank"
"19","1","19","false","risky","safe","safe","10","1213","bandit","low_value","bandit-task","26","268878","0.0-7.0-0.18","9073","402879","highRank"
"20","1","20","false","safe","risky","safe","50","1760","bandit","decision","bandit-task","27","273420","0.0-7.0-0.19","9073","402879","highRank"
"21","1","21","false","safe","risky","safe","10","1022","bandit","low_value","bandit-task","28","277131","0.0-7.0-0.20","9073","402879","highRank"
"22","1","22","false","safe","risky","safe","90","1349","bandit","high_value","bandit-task","29","281804","0.0-7.0-0.21","9073","402879","highRank"
"23","1","23","false","safe","risky","safe","10","1354","bandit","low_value","bandit-task","30","285887","0.0-7.0-0.22","9073","402879","highRank"
"24","1","24","false","risky","safe","safe","90","1193","bandit","high_value","bandit-task","31","289990","0.0-7.0-0.23","9073","402879","highRank"
"25","1","25","false","risky","safe","safe","10","1786","bandit","low_value","bandit-task","32","294651","0.0-7.0-0.24","9073","402879","highRank"
"26","1","26","false","safe","risky","safe","10","1028","bandit","low_value","bandit-task","33","298550","0.0-7.0-0.25","9073","402879","highRank"
"27","1","27","false","safe","risky","safe","50","1047","bandit","decision","bandit-task","34","302750","0.0-7.0-0.26","9073","402879","highRank"
"28","1","28","false","risky","safe","risky","20","1357","bandit","low_value","bandit-task","35","307106","0.0-7.0-0.27","9073","402879","highRank"
"29","1","29","false","safe","risky","safe","50","1243","bandit","decision","bandit-task","36","313168","0.0-7.0-0.28","9073","402879","highRank"
"30","1","30","false","risky","safe","safe","90","1309","bandit","high_value","bandit-task","37","317581","0.0-7.0-0.29","9073","402879","highRank"
"31","1","31","false","risky","safe","safe","10","1225","bandit","low_value","bandit-task","38","321448","0.0-7.0-0.30","9073","402879","highRank"
"32","1","32","false","risky","safe","risky","0","1023","bandit","low_value","bandit-task","39","325204","0.0-7.0-0.31","9073","402879","highRank"
"33","1","33","false","safe","risky","safe","50","1072","bandit","decision","bandit-task","40","329297","0.0-7.0-0.32","9073","402879","highRank"
"34","1","34","false","safe","risky","safe","50","957","bandit","decision","bandit-task","41","333286","0.0-7.0-0.33","9073","402879","highRank"
"35","1","35","false","risky","safe","safe","10","1541","bandit","low_value","bandit-task","42","337484","0.0-7.0-0.34","9073","402879","highRank"
"36","1","36","false","risky","safe","risky","0","1128","bandit","low_value","bandit-task","43","342239","0.0-7.0-0.35","9073","402879","highRank"
"37","2","1","false","safe","risky","safe","10","1301","bandit","low_value","bandit-task","45","372828","0.0-9.0-0.0","9073","402879","highRank"
"38","2","2","false","risky","safe","safe","50","3312","bandit","decision","bandit-task","46","378989","0.0-9.0-0.1","9073","402879","highRank"
"39","2","3","false","safe","risky","safe","10","1144","bandit","low_value","bandit-task","47","382670","0.0-9.0-0.2","9073","402879","highRank"
"40","2","4","false","risky","safe","safe","10","1380","bandit","low_value","bandit-task","48","386530","0.0-9.0-0.3","9073","402879","highRank"
"41","2","5","false","risky","safe","safe","10","947","bandit","low_value","bandit-task","49","389956","0.0-9.0-0.4","9073","402879","highRank"
"42","2","6","false","risky","safe","safe","50","1082","bandit","decision","bandit-task","50","393636","0.0-9.0-0.5","9073","402879","highRank"
"43","2","7","false","risky","safe","safe","10","1498","bandit","low_value","bandit-task","51","397714","0.0-9.0-0.6","9073","402879","highRank"
"44","2","8","false","safe","risky","safe","10","840","bandit","low_value","bandit-task","52","401089","0.0-9.0-0.7","9073","402879","highRank"
"45","2","9","false","risky","safe","safe","10","837","bandit","low_value","bandit-task","53","404513","0.0-9.0-0.8","9073","402879","highRank"
"46","2","10","false","risky","safe","safe","10","913","bandit","low_value","bandit-task","54","408505","0.0-9.0-0.9","9073","402879","highRank"
"47","2","11","false","safe","risky","safe","90","878","bandit","high_value","bandit-task","55","412717","0.0-9.0-0.10","9073","402879","highRank"
"48","2","12","false","safe","risky","safe","10","1253","bandit","low_value","bandit-task","56","416404","0.0-9.0-0.11","9073","402879","highRank"
"49","2","13","false","risky","safe","safe","10","874","bandit","low_value","bandit-task","57","419764","0.0-9.0-0.12","9073","402879","highRank"
"50","2","14","false","safe","risky","safe","90","892","bandit","high_value","bandit-task","58","423445","0.0-9.0-0.13","9073","402879","highRank"
"51","2","15","false","safe","risky","safe","10","1316","bandit","low_value","bandit-task","59","427365","0.0-9.0-0.14","9073","402879","highRank"
"52","2","16","false","safe","risky","safe","50","964","bandit","decision","bandit-task","60","430987","0.0-9.0-0.15","9073","402879","highRank"
"53","2","17","false","risky","safe","safe","10","1169","bandit","low_value","bandit-task","61","435083","0.0-9.0-0.16","9073","402879","highRank"
"54","2","18","false","safe","risky","safe","90","968","bandit","high_value","bandit-task","62","442632","0.0-9.0-0.17","9073","402879","highRank"
"55","2","19","false","safe","risky","safe","50","1164","bandit","decision","bandit-task","63","446427","0.0-9.0-0.18","9073","402879","highRank"
"56","2","20","false","safe","risky","safe","10","1078","bandit","low_value","bandit-task","64","450266","0.0-9.0-0.19","9073","402879","highRank"
"57","2","21","false","risky","safe","safe","50","1069","bandit","decision","bandit-task","65","453844","0.0-9.0-0.20","9073","402879","highRank"
"58","2","22","false","safe","risky","risky","30","1457","bandit","decision","bandit-task","66","457814","0.0-9.0-0.21","9073","402879","highRank"
"59","2","23","false","safe","risky","safe","10","1649","bandit","low_value","bandit-task","67","464099","0.0-9.0-0.22","9073","402879","highRank"
"60","2","24","false","risky","safe","risky","80","1227","bandit","high_value","bandit-task","68","468039","0.0-9.0-0.23","9073","402879","highRank"
"61","2","25","false","risky","safe","risky","20","1564","bandit","low_value","bandit-task","69","472304","0.0-9.0-0.24","9073","402879","highRank"
"62","2","26","false","risky","safe","safe","10","958","bandit","low_value","bandit-task","70","480903","0.0-9.0-0.25","9073","402879","highRank"
"63","2","27","false","risky","safe","risky","30","1291","bandit","decision","bandit-task","71","485022","0.0-9.0-0.26","9073","402879","highRank"
"64","2","28","false","risky","safe","safe","10","1598","bandit","low_value","bandit-task","72","489363","0.0-9.0-0.27","9073","402879","highRank"
"65","2","29","false","risky","safe","safe","10","1654","bandit","low_value","bandit-task","73","493950","0.0-9.0-0.28","9073","402879","highRank"
"66","2","30","false","risky","safe","safe","50","1422","bandit","decision","bandit-task","74","497860","0.0-9.0-0.29","9073","402879","highRank"
"67","2","31","false","risky","safe","safe","50","812","bandit","decision","bandit-task","75","501160","0.0-9.0-0.30","9073","402879","highRank"
"68","2","32","false","risky","safe","safe","50","827","bandit","decision","bandit-task","76","504416","0.0-9.0-0.31","9073","402879","highRank"
"69","2","33","false","risky","safe","safe","10","1019","bandit","low_value","bandit-task","77","507891","0.0-9.0-0.32","9073","402879","highRank"
"70","2","34","false","safe","risky","safe","50","1172","bandit","decision","bandit-task","78","511488","0.0-9.0-0.33","9073","402879","highRank"
"71","2","35","false","risky","safe","safe","50","856","bandit","decision","bandit-task","79","514750","0.0-9.0-0.34","9073","402879","highRank"
"72","2","36","false","risky","safe","safe","10","981","bandit","low_value","bandit-task","80","518316","0.0-9.0-0.35","9073","402879","highRank"
"73","3","1","false","risky","safe","safe","10","1659","bandit","low_value","bandit-task","82","584621","0.0-11.0-0.0","9073","402879","highRank"
"74","3","2","false","safe","risky","safe","90","1064","bandit","high_value","bandit-task","83","588249","0.0-11.0-0.1","9073","402879","highRank"
"75","3","3","false","risky","safe","safe","10","1109","bandit","low_value","bandit-task","84","592085","0.0-11.0-0.2","9073","402879","highRank"
"76","3","4","false","risky","safe","safe","10","906","bandit","low_value","bandit-task","85","595538","0.0-11.0-0.3","9073","402879","highRank"
"77","3","5","false","safe","risky","safe","10","1199","bandit","low_value","bandit-task","86","599444","0.0-11.0-0.4","9073","402879","highRank"
"78","3","6","false","risky","safe","safe","10","1035","bandit","low_value","bandit-task","87","603354","0.0-11.0-0.5","9073","402879","highRank"
"79","3","7","false","safe","risky","safe","10","1007","bandit","low_value","bandit-task","88","606973","0.0-11.0-0.6","9073","402879","highRank"
"80","3","8","false","risky","safe","safe","50","1324","bandit","decision","bandit-task","89","611319","0.0-11.0-0.7","9073","402879","highRank"
"81","3","9","false","risky","safe","safe","50","1543","bandit","decision","bandit-task","90","616067","0.0-11.0-0.8","9073","402879","highRank"
"82","3","10","false","risky","safe","safe","10","9013","bandit","low_value","bandit-task","91","627817","0.0-11.0-0.9","9073","402879","highRank"
"83","3","11","false","risky","safe","safe","10","921","bandit","low_value","bandit-task","92","631270","0.0-11.0-0.10","9073","402879","highRank"
"84","3","12","false","safe","risky","safe","10","1339","bandit","low_value","bandit-task","93","635179","0.0-11.0-0.11","9073","402879","highRank"
"85","3","13","false","risky","safe","safe","10","5206","bandit","low_value","bandit-task","94","643159","0.0-11.0-0.12","9073","402879","highRank"
"86","3","14","false","risky","safe","safe","90","2004","bandit","high_value","bandit-task","95","647727","0.0-11.0-0.13","9073","402879","highRank"
"87","3","15","false","risky","safe","safe","10","1174","bandit","low_value","bandit-task","96","651445","0.0-11.0-0.14","9073","402879","highRank"
"88","3","16","false","risky","safe","safe","50","971","bandit","decision","bandit-task","97","655088","0.0-11.0-0.15","9073","402879","highRank"
"89","3","17","false","risky","safe","safe","10","1455","bandit","low_value","bandit-task","98","659286","0.0-11.0-0.16","9073","402879","highRank"
"90","3","18","false","safe","risky","safe","50","989","bandit","decision","bandit-task","99","663051","0.0-11.0-0.17","9073","402879","highRank"
"91","3","19","false","safe","risky","safe","10","1505","bandit","low_value","bandit-task","100","667052","0.0-11.0-0.18","9073","402879","highRank"
"92","3","20","false","risky","safe","safe","10","1325","bandit","low_value","bandit-task","101","671011","0.0-11.0-0.19","9073","402879","highRank"
"93","3","21","false","safe","risky","safe","50","1152","bandit","decision","bandit-task","102","674763","0.0-11.0-0.20","9073","402879","highRank"
"94","3","22","false","risky","safe","risky","0","1397","bandit","low_value","bandit-task","103","678733","0.0-11.0-0.21","9073","402879","highRank"
"95","3","23","false","safe","risky","safe","50","988","bandit","decision","bandit-task","104","682209","0.0-11.0-0.22","9073","402879","highRank"
"96","3","24","false","risky","safe","safe","50","840","bandit","decision","bandit-task","105","685569","0.0-11.0-0.23","9073","402879","highRank"
"97","3","25","false","safe","risky","safe","10","1263","bandit","low_value","bandit-task","106","689303","0.0-11.0-0.24","9073","402879","highRank"
"98","3","26","false","safe","risky","safe","10","821","bandit","low_value","bandit-task","107","692689","0.0-11.0-0.25","9073","402879","highRank"
"99","3","27","false","risky","safe","safe","50","1042","bandit","decision","bandit-task","108","696376","0.0-11.0-0.26","9073","402879","highRank"
"100","3","28","false","risky","safe","safe","10","1213","bandit","low_value","bandit-task","109","700297","0.0-11.0-0.27","9073","402879","highRank"
"101","3","29","false","risky","safe","safe","50","1039","bandit","decision","bandit-task","110","704008","0.0-11.0-0.28","9073","402879","highRank"
"102","3","30","false","safe","risky","safe","90","891","bandit","high_value","bandit-task","111","707664","0.0-11.0-0.29","9073","402879","highRank"
"103","3","31","false","safe","risky","safe","90","854","bandit","high_value","bandit-task","112","711014","0.0-11.0-0.30","9073","402879","highRank"
"104","3","32","false","risky","safe","safe","50","997","bandit","decision","bandit-task","113","714556","0.0-11.0-0.31","9073","402879","highRank"
"105","3","33","false","safe","risky","safe","10","1054","bandit","low_value","bandit-task","114","718108","0.0-11.0-0.32","9073","402879","highRank"
"106","3","34","false","risky","safe","safe","10","847","bandit","low_value","bandit-task","115","721580","0.0-11.0-0.33","9073","402879","highRank"
"107","3","35","false","risky","safe","safe","50","1606","bandit","decision","bandit-task","116","725683","0.0-11.0-0.34","9073","402879","highRank"
"108","3","36","false","safe","risky","safe","50","1046","bandit","decision","bandit-task","117","729500","0.0-11.0-0.35","9073","402879","highRank"
"109","4","1","false","safe","risky","safe","10","1378","bandit","low_value","bandit-task","119","741923","0.0-13.0-0.0","9073","402879","highRank"
"110","4","2","false","risky","safe","safe","10","805","bandit","low_value","bandit-task","120","745253","0.0-13.0-0.1","9073","402879","highRank"
"111","4","3","false","safe","risky","safe","50","959","bandit","decision","bandit-task","121","748706","0.0-13.0-0.2","9073","402879","highRank"
"112","4","4","false","safe","risky","safe","90","960","bandit","high_value","bandit-task","122","752271","0.0-13.0-0.3","9073","402879","highRank"
"113","4","5","false","safe","risky","safe","10","1801","bandit","low_value","bandit-task","123","756827","0.0-13.0-0.4","9073","402879","highRank"
"114","4","6","false","risky","safe","safe","50","1045","bandit","decision","bandit-task","124","760486","0.0-13.0-0.5","9073","402879","highRank"
"115","4","7","false","safe","risky","safe","50","1039","bandit","decision","bandit-task","125","764053","0.0-13.0-0.6","9073","402879","highRank"
"116","4","8","false","safe","risky","risky","0","1013","bandit","low_value","bandit-task","126","767586","0.0-13.0-0.7","9073","402879","highRank"
"117","4","9","false","risky","safe","safe","10","6203","bandit","low_value","bandit-task","127","776312","0.0-13.0-0.8","9073","402879","highRank"
"118","4","10","false","risky","safe","safe","50","1016","bandit","decision","bandit-task","128","779841","0.0-13.0-0.9","9073","402879","highRank"
"119","4","11","false","safe","risky","safe","10","1510","bandit","low_value","bandit-task","129","783962","0.0-13.0-0.10","9073","402879","highRank"
"120","4","12","false","risky","safe","safe","50","1136","bandit","decision","bandit-task","130","788379","0.0-13.0-0.11","9073","402879","highRank"
"121","4","13","false","safe","risky","safe","10","1440","bandit","low_value","bandit-task","131","792650","0.0-13.0-0.12","9073","402879","highRank"
"122","4","14","false","risky","safe","safe","10","2165","bandit","low_value","bandit-task","132","797880","0.0-13.0-0.13","9073","402879","highRank"
"123","4","15","false","risky","safe","safe","50","1077","bandit","decision","bandit-task","133","801567","0.0-13.0-0.14","9073","402879","highRank"
"124","4","16","false","safe","risky","safe","50","759","bandit","decision","bandit-task","134","804895","0.0-13.0-0.15","9073","402879","highRank"
"125","4","17","false","safe","risky","safe","10","1100","bandit","low_value","bandit-task","135","808481","0.0-13.0-0.16","9073","402879","highRank"
"126","4","18","false","risky","safe","safe","10","885","bandit","low_value","bandit-task","136","811807","0.0-13.0-0.17","9073","402879","highRank"
"127","4","19","false","risky","safe","safe","10","850","bandit","low_value","bandit-task","137","815304","0.0-13.0-0.18","9073","402879","highRank"
"128","4","20","false","risky","safe","safe","50","1069","bandit","decision","bandit-task","138","818856","0.0-13.0-0.19","9073","402879","highRank"
"129","4","21","false","risky","safe","safe","10","1173","bandit","low_value","bandit-task","139","822465","0.0-13.0-0.20","9073","402879","highRank"
