"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","choiceType","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","risky","safe","risky","80","4075","bandit","high_value","bandit-task","8","110202","0.0-7.0-0.0","88748","735207","highRank"
"2","1","2","false","risky","safe","risky","20","1132","bandit","low_value","bandit-task","9","113970","0.0-7.0-0.1","88748","735207","highRank"
"3","1","3","false","safe","risky","safe","10","1636","bandit","low_value","bandit-task","10","118290","0.0-7.0-0.2","88748","735207","highRank"
"4","1","4","false","safe","risky","risky","20","652","bandit","low_value","bandit-task","11","121914","0.0-7.0-0.3","88748","735207","highRank"
"5","1","5","false","safe","risky","risky","20","1140","bandit","low_value","bandit-task","12","125706","0.0-7.0-0.4","88748","735207","highRank"
"6","1","6","false","safe","risky","safe","90","963","bandit","high_value","bandit-task","13","129346","0.0-7.0-0.5","88748","735207","highRank"
"7","1","7","false","risky","safe","risky","0","1299","bandit","low_value","bandit-task","14","133138","0.0-7.0-0.6","88748","735207","highRank"
"8","1","8","false","safe","risky","safe","90","915","bandit","high_value","bandit-task","15","136706","0.0-7.0-0.7","88748","735207","highRank"
"9","1","9","false","safe","risky","risky","20","836","bandit","low_value","bandit-task","16","140050","0.0-7.0-0.8","88748","735207","highRank"
"10","1","10","false","risky","safe","risky","20","876","bandit","low_value","bandit-task","17","143354","0.0-7.0-0.9","88748","735207","highRank"
"11","1","11","false","safe","risky","risky","70","859","bandit","decision","bandit-task","18","146602","0.0-7.0-0.10","88748","735207","highRank"
"12","1","12","false","risky","safe","risky","20","1172","bandit","low_value","bandit-task","19","150186","0.0-7.0-0.11","88748","735207","highRank"
"13","1","13","false","safe","risky","safe","50","1922","bandit","decision","bandit-task","20","154746","0.0-7.0-0.12","88748","735207","highRank"
"14","1","14","false","safe","risky","risky","0","844","bandit","low_value","bandit-task","21","158250","0.0-7.0-0.13","88748","735207","highRank"
"15","1","15","false","risky","safe","risky","20","931","bandit","low_value","bandit-task","22","161585","0.0-7.0-0.14","88748","735207","highRank"
"16","1","16","false","safe","risky","safe","10","692","bandit","low_value","bandit-task","23","164649","0.0-7.0-0.15","88748","735207","highRank"
"17","1","17","false","safe","risky","risky","30","1100","bandit","decision","bandit-task","24","168377","0.0-7.0-0.16","88748","735207","highRank"
"18","1","18","false","risky","safe","risky","0","929","bandit","low_value","bandit-task","25","171954","0.0-7.0-0.17","88748","735207","highRank"
"19","1","19","false","safe","risky","safe","50","1188","bandit","decision","bandit-task","26","175793","0.0-7.0-0.18","88748","735207","highRank"
"20","1","20","false","safe","risky","risky","20","803","bandit","low_value","bandit-task","27","179001","0.0-7.0-0.19","88748","735207","highRank"
"21","1","21","false","safe","risky","risky","20","1220","bandit","low_value","bandit-task","28","182690","0.0-7.0-0.20","88748","735207","highRank"
"22","1","22","false","risky","safe","risky","30","1330","bandit","decision","bandit-task","29","186602","0.0-7.0-0.21","88748","735207","highRank"
"23","1","23","false","risky","safe","safe","50","1081","bandit","decision","bandit-task","30","190105","0.0-7.0-0.22","88748","735207","highRank"
"24","1","24","false","safe","risky","risky","0","820","bandit","low_value","bandit-task","31","193354","0.0-7.0-0.23","88748","735207","highRank"
"25","1","25","false","safe","risky","safe","90","1586","bandit","high_value","bandit-task","32","197505","0.0-7.0-0.24","88748","735207","highRank"
"26","1","26","false","risky","safe","risky","70","844","bandit","decision","bandit-task","33","200937","0.0-7.0-0.25","88748","735207","highRank"
"27","1","27","false","risky","safe","risky","70","756","bandit","decision","bandit-task","34","204289","0.0-7.0-0.26","88748","735207","highRank"
"28","1","28","false","safe","risky","risky","30","995","bandit","decision","bandit-task","35","207697","0.0-7.0-0.27","88748","735207","highRank"
"29","1","29","false","safe","risky","safe","10","1531","bandit","low_value","bandit-task","36","211681","0.0-7.0-0.28","88748","735207","highRank"
"30","1","30","false","safe","risky","safe","50","1036","bandit","decision","bandit-task","37","215737","0.0-7.0-0.29","88748","735207","highRank"
"31","1","31","false","risky","safe","risky","70","1315","bandit","decision","bandit-task","38","219705","0.0-7.0-0.30","88748","735207","highRank"
"32","1","32","false","safe","risky","risky","20","1499","bandit","low_value","bandit-task","39","223953","0.0-7.0-0.31","88748","735207","highRank"
"33","1","33","false","risky","safe","risky","20","715","bandit","low_value","bandit-task","40","227305","0.0-7.0-0.32","88748","735207","highRank"
"34","1","34","false","safe","risky","risky","30","796","bandit","decision","bandit-task","41","230889","0.0-7.0-0.33","88748","735207","highRank"
"35","1","35","false","risky","safe","risky","0","788","bandit","low_value","bandit-task","42","234073","0.0-7.0-0.34","88748","735207","highRank"
"36","1","36","false","risky","safe","safe","10","1051","bandit","low_value","bandit-task","43","237537","0.0-7.0-0.35","88748","735207","highRank"
"37","2","1","false","safe","risky","risky","0","813","bandit","low_value","bandit-task","45","244169","0.0-9.0-0.0","88748","735207","highRank"
"38","2","2","false","risky","safe","risky","20","811","bandit","low_value","bandit-task","46","247473","0.0-9.0-0.1","88748","735207","highRank"
"39","2","3","false","risky","safe","safe","90","868","bandit","high_value","bandit-task","47","251137","0.0-9.0-0.2","88748","735207","highRank"
"40","2","4","false","safe","risky","safe","10","1907","bandit","low_value","bandit-task","48","255425","0.0-9.0-0.3","88748","735207","highRank"
"41","2","5","false","risky","safe","risky","0","1225","bandit","low_value","bandit-task","49","259593","0.0-9.0-0.4","88748","735207","highRank"
"42","2","6","false","safe","risky","risky","20","794","bandit","low_value","bandit-task","50","262857","0.0-9.0-0.5","88748","735207","highRank"
