"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","choiceType","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","risky","safe","risky","0","1655","bandit","low_value","bandit-task","8","193225","0.0-7.0-0.0","50846","647944","highRank"
"2","1","2","false","risky","safe","safe","90","1854","bandit","high_value","bandit-task","9","198191","0.0-7.0-0.1","50846","647944","highRank"
"3","1","3","false","safe","risky","risky","0","2045","bandit","low_value","bandit-task","10","203320","0.0-7.0-0.2","50846","647944","highRank"
"4","1","4","false","safe","risky","safe","10","1099","bandit","low_value","bandit-task","11","207328","0.0-7.0-0.3","50846","647944","highRank"
"5","1","5","false","safe","risky","risky","80","2607","bandit","high_value","bandit-task","12","212760","0.0-7.0-0.4","50846","647944","highRank"
"6","1","6","false","risky","safe","safe","10","1891","bandit","low_value","bandit-task","13","217418","0.0-7.0-0.5","50846","647944","highRank"
"7","1","7","false","safe","risky","safe","50","1446","bandit","decision","bandit-task","14","221644","0.0-7.0-0.6","50846","647944","highRank"
"8","1","8","false","risky","safe","safe","10","1419","bandit","low_value","bandit-task","15","225775","0.0-7.0-0.7","50846","647944","highRank"
"9","1","9","false","risky","safe","safe","50","1365","bandit","decision","bandit-task","16","229762","0.0-7.0-0.8","50846","647944","highRank"
"10","1","10","false","safe","risky","risky","30","1662","bandit","decision","bandit-task","17","234167","0.0-7.0-0.9","50846","647944","highRank"
"11","1","11","false","risky","safe","safe","10","1451","bandit","low_value","bandit-task","18","238330","0.0-7.0-0.10","50846","647944","highRank"
"12","1","12","false","safe","risky","safe","10","1651","bandit","low_value","bandit-task","19","242593","0.0-7.0-0.11","50846","647944","highRank"
"13","1","13","false","risky","safe","safe","50","986","bandit","decision","bandit-task","20","246437","0.0-7.0-0.12","50846","647944","highRank"
"14","1","14","false","safe","risky","safe","10","1594","bandit","low_value","bandit-task","21","250632","0.0-7.0-0.13","50846","647944","highRank"
"15","1","15","false","risky","safe","safe","10","1315","bandit","low_value","bandit-task","22","254679","0.0-7.0-0.14","50846","647944","highRank"
"16","1","16","false","safe","risky","safe","50","1010","bandit","decision","bandit-task","23","258486","0.0-7.0-0.15","50846","647944","highRank"
"17","1","17","false","safe","risky","safe","10","1321","bandit","low_value","bandit-task","24","262612","0.0-7.0-0.16","50846","647944","highRank"
"18","1","18","false","safe","risky","safe","50","1031","bandit","decision","bandit-task","25","266529","0.0-7.0-0.17","50846","647944","highRank"
"19","1","19","false","risky","safe","safe","10","1235","bandit","low_value","bandit-task","26","270633","0.0-7.0-0.18","50846","647944","highRank"
"20","1","20","false","safe","risky","safe","10","1974","bandit","low_value","bandit-task","27","275192","0.0-7.0-0.19","50846","647944","highRank"
"21","1","21","false","risky","safe","safe","10","1381","bandit","low_value","bandit-task","28","279436","0.0-7.0-0.20","50846","647944","highRank"
"22","1","22","false","safe","risky","safe","50","1231","bandit","decision","bandit-task","29","284062","0.0-7.0-0.21","50846","647944","highRank"
"23","1","23","false","safe","risky","safe","10","2288","bandit","low_value","bandit-task","30","289283","0.0-7.0-0.22","50846","647944","highRank"
"24","1","24","false","risky","safe","safe","50","1216","bandit","decision","bandit-task","31","293603","0.0-7.0-0.23","50846","647944","highRank"
"25","1","25","false","safe","risky","safe","50","1159","bandit","decision","bandit-task","32","297483","0.0-7.0-0.24","50846","647944","highRank"
"26","1","26","false","safe","risky","safe","10","1497","bandit","low_value","bandit-task","33","301631","0.0-7.0-0.25","50846","647944","highRank"
"27","1","27","false","risky","safe","safe","10","1625","bandit","low_value","bandit-task","34","305990","0.0-7.0-0.26","50846","647944","highRank"
"28","1","28","false","safe","risky","safe","50","1179","bandit","decision","bandit-task","35","310643","0.0-7.0-0.27","50846","647944","highRank"
"29","1","29","false","safe","risky","safe","10","1630","bandit","low_value","bandit-task","36","315218","0.0-7.0-0.28","50846","647944","highRank"
"30","1","30","false","safe","risky","safe","50","1017","bandit","decision","bandit-task","37","319162","0.0-7.0-0.29","50846","647944","highRank"
"31","1","31","false","safe","risky","safe","10","1468","bandit","low_value","bandit-task","38","323930","0.0-7.0-0.30","50846","647944","highRank"
"32","1","32","false","risky","safe","safe","50","1260","bandit","decision","bandit-task","39","328882","0.0-7.0-0.31","50846","647944","highRank"
"33","1","33","false","risky","safe","risky","100","3945","bandit","high_value","bandit-task","40","336235","0.0-7.0-0.32","50846","647944","highRank"
"34","1","34","false","safe","risky","safe","10","1264","bandit","low_value","bandit-task","41","340702","0.0-7.0-0.33","50846","647944","highRank"
"35","1","35","false","risky","safe","safe","10","1432","bandit","low_value","bandit-task","42","345059","0.0-7.0-0.34","50846","647944","highRank"
"36","1","36","false","risky","safe","risky","80","1089","bandit","high_value","bandit-task","43","348835","0.0-7.0-0.35","50846","647944","highRank"
"37","2","1","false","risky","safe","risky","80","1763","bandit","high_value","bandit-task","45","361542","0.0-9.0-0.0","50846","647944","highRank"
"38","2","2","false","risky","safe","safe","10","2462","bandit","low_value","bandit-task","46","366570","0.0-9.0-0.1","50846","647944","highRank"
"39","2","3","false","risky","safe","safe","10","1020","bandit","low_value","bandit-task","47","370455","0.0-9.0-0.2","50846","647944","highRank"
"40","2","4","false","risky","safe","safe","10","1378","bandit","low_value","bandit-task","48","374372","0.0-9.0-0.3","50846","647944","highRank"
"41","2","5","false","safe","risky","safe","50","1150","bandit","decision","bandit-task","49","378047","0.0-9.0-0.4","50846","647944","highRank"
"42","2","6","false","safe","risky","safe","10","1533","bandit","low_value","bandit-task","50","382955","0.0-9.0-0.5","50846","647944","highRank"
"43","2","7","false","safe","risky","safe","10","1319","bandit","low_value","bandit-task","51","387645","0.0-9.0-0.6","50846","647944","highRank"
"44","2","8","false","safe","risky","safe","50","1539","bandit","decision","bandit-task","52","392359","0.0-9.0-0.7","50846","647944","highRank"
"45","2","9","false","safe","risky","safe","50","1174","bandit","decision","bandit-task","53","396409","0.0-9.0-0.8","50846","647944","highRank"
"46","2","10","false","risky","safe","safe","10","1392","bandit","low_value","bandit-task","54","401233","0.0-9.0-0.9","50846","647944","highRank"
"47","2","11","false","risky","safe","risky","100","1664","bandit","high_value","bandit-task","55","405508","0.0-9.0-0.10","50846","647944","highRank"
