"rt","responses","question_order","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"2364.2449999988457","{""colourBlindness"":""8""}","[0]","demographics","survey-multi-choice","3","15013","0.0-3.0","92077","674071","lowRank"
"12053","{""Q0"":""19"",""Q1"":""Male"",""Q2"":""English"",""Q3"":""United States""}","","demographics","survey-text","4","27076","0.0-4.0","92077","674071","lowRank"
