"rt","responses","question_order","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"3116.7650000425056","{""colourBlindness"":""8""}","[0]","demographics","survey-multi-choice","3","22382","0.0-3.0","53666","905772","highRank"
"10873","{""Q0"":""27"",""Q1"":""female"",""Q2"":""english"",""Q3"":""united states""}","","demographics","survey-text","4","33274","0.0-4.0","53666","905772","highRank"
