"rt","responses","question_order","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"15635.000000009313","{""colourBlindness"":""8""}","[0]","demographics","survey-multi-choice","3","173508","0.0-3.0","13837","152320","highRank"
"21770","{""Q0"":""36"",""Q1"":""male"",""Q2"":""english"",""Q3"":""USA""}","","demographics","survey-text","4","195375","0.0-4.0","13837","152320","highRank"
