"rt","responses","question_order","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"4731.050000000323","{""colourBlindness"":""8""}","[0]","demographics","survey-multi-choice","3","49212","0.0-3.0","97676","825272","highRank"
"25174","{""Q0"":""19"",""Q1"":""Male"",""Q2"":""English"",""Q3"":""United States of America""}","","demographics","survey-text","4","74395","0.0-4.0","97676","825272","highRank"
