"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"21392","{""100 points:"":"""",""80 points:"":"""",""Other:"":""100""}","percentage","high_risky","survey-text","200","907412","0.0-19.0","64599","252879","lowRank"
"8838","{""20 points:"":""0"",""0 points:"":""100"",""Other:"":""""}","percentage","low_risky","survey-text","201","916253","0.0-20.0","64599","252879","lowRank"
"6733","{""70 points:"":""90"",""30 points:"":""10"",""Other:"":""""}","percentage","decision_risky","survey-text","202","922989","0.0-21.0","64599","252879","lowRank"
