"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"3766","{""20 points:"":""50"",""0 points:"":""50"",""Other:"":""""}","percentage","low_risky","survey-text","200","1580151","0.0-19.0","6757","983678","highRank"
"8848","{""30 points:"":""80"",""70 points:"":""20"",""Other:"":""""}","percentage","decision_risky","survey-text","201","1589003","0.0-20.0","6757","983678","highRank"
"3995","{""100 points:"":""50"",""80 points:"":""50"",""Other:"":""""}","percentage","high_risky","survey-text","202","1593003","0.0-21.0","6757","983678","highRank"
