"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"19884","{""0 points:"":""30"",""20 points:"":""70"",""Other:"":""""}","percentage","low_risky","survey-text","200","856127","0.0-19.0","39199","990928","highRank"
"9241","{""100 points:"":""60"",""80 points:"":""40"",""Other:"":""""}","percentage","high_risky","survey-text","201","865372","0.0-20.0","39199","990928","highRank"
"7068","{""70 points:"":""40"",""30 points:"":""60"",""Other:"":""""}","percentage","decision_risky","survey-text","202","872443","0.0-21.0","39199","990928","highRank"
