"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"19397","{""20 points:"":""40"",""0 points:"":""60"",""Other:"":""""}","percentage","low_risky","survey-text","200","962694","0.0-19.0","70593","856722","lowRank"
"13162","{""70 points:"":""60"",""30 points:"":""40"",""Other:"":""""}","percentage","decision_risky","survey-text","201","975869","0.0-20.0","70593","856722","lowRank"
"7354","{""100 points:"":""50"",""80 points:"":""50"",""Other:"":""""}","percentage","high_risky","survey-text","202","983229","0.0-21.0","70593","856722","lowRank"
