"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"14014","{""30 points:"":""30"",""70 points:"":""70"",""Other:"":""""}","percentage","decision_risky","survey-text","200","1286687","0.0-19.0","31763","489786","lowRank"
"17445","{""80 points:"":""0"",""100 points:"":""70"",""Other:"":""30""}","percentage","high_risky","survey-text","201","1304148","0.0-20.0","31763","489786","lowRank"
"10731","{""0 points:"":""50"",""20 points:"":""50"",""Other:"":""""}","percentage","low_risky","survey-text","202","1314905","0.0-21.0","31763","489786","lowRank"
