"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"7643","{""Q0"":""30""}","ftm","decision_safe","survey-text","196","865156","0.0-17.0-0.0","9978","657938","highRank"
"4713","{""Q0"":""70""}","ftm","high_safe","survey-text","197","869875","0.0-17.0-0.1","9978","657938","highRank"
"3263","{""Q0"":""100""}","ftm","high_risky","survey-text","198","873142","0.0-17.0-0.2","9978","657938","highRank"
"5660","{""Q0"":""20""}","ftm","low_risky","survey-text","199","878806","0.0-17.0-0.3","9978","657938","highRank"
"4153","{""Q0"":""70""}","ftm","decision_risky","survey-text","200","882962","0.0-17.0-0.4","9978","657938","highRank"
"6328","{""Q0"":""10""}","ftm","low_safe","survey-text","201","889294","0.0-17.0-0.5","9978","657938","highRank"
