"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"8390","{""Q0"":""70""}","ftm","decision_risky","survey-text","193","889786","0.0-17.0-0.0","56624","116842","lowRank"
"2679","{""Q0"":""10""}","ftm","low_risky","survey-text","194","892472","0.0-17.0-0.1","56624","116842","lowRank"
"3449","{""Q0"":""50""}","ftm","decision_safe","survey-text","195","895927","0.0-17.0-0.2","56624","116842","lowRank"
"2101","{""Q0"":""90""}","ftm","high_safe","survey-text","196","898032","0.0-17.0-0.3","56624","116842","lowRank"
"2348","{""Q0"":""10""}","ftm","low_safe","survey-text","197","900384","0.0-17.0-0.4","56624","116842","lowRank"
"3123","{""Q0"":""80""}","ftm","high_risky","survey-text","198","903511","0.0-17.0-0.5","56624","116842","lowRank"
