"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"3796","{""Q0"":""50""}","ftm","decision_safe","survey-text","196","900913","0.0-17.0-0.0","36353","130555","lowRank"
"2298","{""Q0"":""10""}","ftm","low_safe","survey-text","197","903216","0.0-17.0-0.1","36353","130555","lowRank"
"2028","{""Q0"":""0""}","ftm","low_risky","survey-text","198","905249","0.0-17.0-0.2","36353","130555","lowRank"
"3099","{""Q0"":""10""}","ftm","high_safe","survey-text","199","908353","0.0-17.0-0.3","36353","130555","lowRank"
"2099","{""Q0"":""0""}","ftm","decision_risky","survey-text","200","910457","0.0-17.0-0.4","36353","130555","lowRank"
"2348","{""Q0"":""100""}","ftm","high_risky","survey-text","201","912809","0.0-17.0-0.5","36353","130555","lowRank"
