"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"9266","{""Q0"":""30""}","ftm","decision_risky","survey-text","193","1533898","0.0-17.0-0.0","5847","945058","highRank"
"3018","{""Q0"":""10""}","ftm","low_safe","survey-text","194","1536920","0.0-17.0-0.1","5847","945058","highRank"
"2712","{""Q0"":""90""}","ftm","high_safe","survey-text","195","1539636","0.0-17.0-0.2","5847","945058","highRank"
"1965","{""Q0"":""0""}","ftm","low_risky","survey-text","196","1541605","0.0-17.0-0.3","5847","945058","highRank"
"2652","{""Q0"":""100""}","ftm","high_risky","survey-text","197","1544259","0.0-17.0-0.4","5847","945058","highRank"
"2134","{""Q0"":""50""}","ftm","decision_safe","survey-text","198","1546397","0.0-17.0-0.5","5847","945058","highRank"
