"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"6793","{""Q0"":""70""}","ftm","decision_risky","survey-text","196","845721","0.0-17.0-0.0","36613","550888","highRank"
"2854","{""Q0"":""50""}","ftm","decision_safe","survey-text","197","848578","0.0-17.0-0.1","36613","550888","highRank"
"2854","{""Q0"":""0""}","ftm","low_risky","survey-text","198","851434","0.0-17.0-0.2","36613","550888","highRank"
"3150","{""Q0"":""100""}","ftm","high_risky","survey-text","199","854586","0.0-17.0-0.3","36613","550888","highRank"
"4708","{""Q0"":""80""}","ftm","high_safe","survey-text","200","859297","0.0-17.0-0.4","36613","550888","highRank"
"2964","{""Q0"":""10""}","ftm","low_safe","survey-text","201","862263","0.0-17.0-0.5","36613","550888","highRank"
