"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"6795","{""Q0"":""90""}","ftm","high_safe","survey-text","193","1488666","0.0-17.0-0.0","63975","998310","lowRank"
"4018","{""Q0"":""10""}","ftm","low_safe","survey-text","194","1492690","0.0-17.0-0.1","63975","998310","lowRank"
"3993","{""Q0"":""70""}","ftm","decision_risky","survey-text","195","1496690","0.0-17.0-0.2","63975","998310","lowRank"
"3514","{""Q0"":""0""}","ftm","low_risky","survey-text","196","1500210","0.0-17.0-0.3","63975","998310","lowRank"
"3889","{""Q0"":""50""}","ftm","decision_safe","survey-text","197","1504106","0.0-17.0-0.4","63975","998310","lowRank"
"3419","{""Q0"":""100""}","ftm","high_risky","survey-text","198","1507531","0.0-17.0-0.5","63975","998310","lowRank"
