"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"6165","{""Q0"":""60""}","ftm","decision_safe","survey-text","193","1946370","0.0-17.0-0.0","75943","455146","lowRank"
"2852","{""Q0"":""30""}","ftm","decision_risky","survey-text","194","1949233","0.0-17.0-0.1","75943","455146","lowRank"
"2287","{""Q0"":""10""}","ftm","low_risky","survey-text","195","1951532","0.0-17.0-0.2","75943","455146","lowRank"
"2881","{""Q0"":""40""}","ftm","low_safe","survey-text","196","1954424","0.0-17.0-0.3","75943","455146","lowRank"
"2540","{""Q0"":""70""}","ftm","high_safe","survey-text","197","1956977","0.0-17.0-0.4","75943","455146","lowRank"
"2781","{""Q0"":""90""}","ftm","high_risky","survey-text","198","1959770","0.0-17.0-0.5","75943","455146","lowRank"
