"rt","responses","task","option","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"7007","{""Q0"":""50""}","ftm","high_safe","survey-text","193","710228","0.0-17.0-0.0","2639","545688","lowRank"
"3515","{""Q0"":""0""}","ftm","low_risky","survey-text","194","713748","0.0-17.0-0.1","2639","545688","lowRank"
"1904","{""Q0"":""100""}","ftm","high_risky","survey-text","195","715656","0.0-17.0-0.2","2639","545688","lowRank"
"2168","{""Q0"":""50""}","ftm","decision_risky","survey-text","196","717828","0.0-17.0-0.3","2639","545688","lowRank"
"3156","{""Q0"":""60""}","ftm","decision_safe","survey-text","197","720988","0.0-17.0-0.4","2639","545688","lowRank"
"2849","{""Q0"":""10""}","ftm","low_safe","survey-text","198","723839","0.0-17.0-0.5","2639","545688","lowRank"
