"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","worst","context","worst","0","2502","bandit","bandit-task","14","180022","0.0-7.0-0.0","83739","398802","lowRank"
"2","1","2","false","risky","safe","risky","30","1374","bandit","bandit-task","15","184447","0.0-7.0-0.1","83739","398802","lowRank"
"3","1","3","false","context","worst","context","38","3366","bandit","bandit-task","16","190634","0.0-7.0-0.2","83739","398802","lowRank"
"4","1","4","false","worst","context","context","1","1063","bandit","bandit-task","17","194507","0.0-7.0-0.3","83739","398802","lowRank"
"5","1","5","false","worst","context","context","45","1557","bandit","bandit-task","18","198634","0.0-7.0-0.4","83739","398802","lowRank"
"6","1","6","false","risky","safe","risky","30","646","bandit","bandit-task","19","201849","0.0-7.0-0.5","83739","398802","lowRank"
"7","1","7","true","","","context","1","847","bandit","bandit-task","20","205398","0.0-7.0-0.6","83739","398802","lowRank"
"8","1","8","false","worst","context","context","44","915","bandit","bandit-task","21","208868","0.0-7.0-0.7","83739","398802","lowRank"
"9","1","9","false","risky","safe","risky","70","628","bandit","bandit-task","22","212149","0.0-7.0-0.8","83739","398802","lowRank"
"10","1","10","true","","","risky","30","763","bandit","bandit-task","23","215718","0.0-7.0-0.9","83739","398802","lowRank"
"11","1","11","false","worst","context","context","1","1213","bandit","bandit-task","24","219400","0.0-7.0-0.10","83739","398802","lowRank"
"12","1","12","true","","","safe","50","1033","bandit","bandit-task","25","224636","0.0-7.0-0.11","83739","398802","lowRank"
"13","1","13","false","context","worst","context","64","2062","bandit","bandit-task","26","229320","0.0-7.0-0.12","83739","398802","lowRank"
"14","1","14","true","","","worst","0","740","bandit","bandit-task","27","232515","0.0-7.0-0.13","83739","398802","lowRank"
"15","1","15","false","context","worst","context","94","1500","bandit","bandit-task","28","236475","0.0-7.0-0.14","83739","398802","lowRank"
"16","1","16","false","risky","safe","risky","70","1338","bandit","bandit-task","29","240370","0.0-7.0-0.15","83739","398802","lowRank"
"17","1","17","true","","","worst","0","682","bandit","bandit-task","30","243484","0.0-7.0-0.16","83739","398802","lowRank"
"18","1","18","false","context","worst","context","90","814","bandit","bandit-task","31","246754","0.0-7.0-0.17","83739","398802","lowRank"
"19","1","19","false","worst","context","context","91","1225","bandit","bandit-task","32","250456","0.0-7.0-0.18","83739","398802","lowRank"
"20","1","20","true","","","context","83","589","bandit","bandit-task","33","253463","0.0-7.0-0.19","83739","398802","lowRank"
"21","1","21","false","context","worst","context","97","955","bandit","bandit-task","34","256906","0.0-7.0-0.20","83739","398802","lowRank"
"22","1","22","false","risky","safe","risky","70","1026","bandit","bandit-task","35","260487","0.0-7.0-0.21","83739","398802","lowRank"
"23","1","23","true","","","safe","50","1479","bandit","bandit-task","36","264585","0.0-7.0-0.22","83739","398802","lowRank"
