"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","context","worst","worst","0","2074","bandit","bandit-task","8","74321","0.0-7.0-0.0","66009","775546","highRank"
"2","1","2","false","safe","risky","risky","30","1542","bandit","bandit-task","9","111794","0.0-7.0-0.1","66009","775546","highRank"
"3","1","3","true","","","risky","30","1078","bandit","bandit-task","10","115741","0.0-7.0-0.2","66009","775546","highRank"
"4","1","4","false","context","worst","context","100","886","bandit","bandit-task","11","122746","0.0-7.0-0.3","66009","775546","highRank"
"5","1","5","false","risky","safe","risky","30","931","bandit","bandit-task","12","126278","0.0-7.0-0.4","66009","775546","highRank"
"6","1","6","false","worst","context","context","2","806","bandit","bandit-task","13","129692","0.0-7.0-0.5","66009","775546","highRank"
"7","1","7","false","worst","context","worst","0","736","bandit","bandit-task","14","133049","0.0-7.0-0.6","66009","775546","highRank"
"8","1","8","false","safe","risky","safe","50","1010","bandit","bandit-task","15","136913","0.0-7.0-0.7","66009","775546","highRank"
"9","1","9","false","context","worst","context","57","2050","bandit","bandit-task","16","155552","0.0-7.0-0.8","66009","775546","highRank"
"10","1","10","false","context","worst","context","60","2639","bandit","bandit-task","17","161176","0.0-7.0-0.9","66009","775546","highRank"
"11","1","11","false","safe","risky","safe","50","998","bandit","bandit-task","18","164663","0.0-7.0-0.10","66009","775546","highRank"
"12","1","12","false","context","worst","context","40","682","bandit","bandit-task","19","167982","0.0-7.0-0.11","66009","775546","highRank"
"13","1","13","false","context","worst","context","100","674","bandit","bandit-task","20","171314","0.0-7.0-0.12","66009","775546","highRank"
"14","1","14","false","context","worst","context","20","713","bandit","bandit-task","21","174794","0.0-7.0-0.13","66009","775546","highRank"
"15","1","15","true","","","risky","30","702","bandit","bandit-task","22","178012","0.0-7.0-0.14","66009","775546","highRank"
"16","1","16","true","","","worst","0","749","bandit","bandit-task","23","181451","0.0-7.0-0.15","66009","775546","highRank"
"17","1","17","false","context","worst","context","39","649","bandit","bandit-task","24","184929","0.0-7.0-0.16","66009","775546","highRank"
"18","1","18","true","","","context","14","744","bandit","bandit-task","25","188495","0.0-7.0-0.17","66009","775546","highRank"
"19","1","19","false","context","worst","context","100","4938","bandit","bandit-task","26","196330","0.0-7.0-0.18","66009","775546","highRank"
"20","1","20","false","context","worst","context","45","1232","bandit","bandit-task","27","200083","0.0-7.0-0.19","66009","775546","highRank"
"21","1","21","false","worst","context","context","100","865","bandit","bandit-task","28","204295","0.0-7.0-0.20","66009","775546","highRank"
"22","1","22","false","context","worst","context","100","823","bandit","bandit-task","29","207715","0.0-7.0-0.21","66009","775546","highRank"
"23","1","23","false","worst","context","context","43","699","bandit","bandit-task","30","210977","0.0-7.0-0.22","66009","775546","highRank"
"24","1","24","false","safe","risky","safe","50","738","bandit","bandit-task","31","214256","0.0-7.0-0.23","66009","775546","highRank"
"25","1","25","false","safe","risky","safe","50","1091","bandit","bandit-task","32","217998","0.0-7.0-0.24","66009","775546","highRank"
"26","1","26","false","risky","safe","safe","50","816","bandit","bandit-task","33","221888","0.0-7.0-0.25","66009","775546","highRank"
"27","1","27","false","context","worst","context","5","722","bandit","bandit-task","34","225599","0.0-7.0-0.26","66009","775546","highRank"
"28","1","28","false","context","worst","context","100","716","bandit","bandit-task","35","230271","0.0-7.0-0.27","66009","775546","highRank"
"29","1","29","false","worst","context","context","56","798","bandit","bandit-task","36","233981","0.0-7.0-0.28","66009","775546","highRank"
"30","1","30","true","","","safe","50","739","bandit","bandit-task","37","237935","0.0-7.0-0.29","66009","775546","highRank"
"31","1","31","false","context","worst","context","3","697","bandit","bandit-task","38","241243","0.0-7.0-0.30","66009","775546","highRank"
"32","1","32","false","worst","context","context","8","891","bandit","bandit-task","39","244746","0.0-7.0-0.31","66009","775546","highRank"
"33","1","33","false","context","worst","context","100","669","bandit","bandit-task","40","248381","0.0-7.0-0.32","66009","775546","highRank"
"34","1","34","true","","","worst","0","738","bandit","bandit-task","41","251668","0.0-7.0-0.33","66009","775546","highRank"
"35","1","35","true","","","safe","50","714","bandit","bandit-task","42","254772","0.0-7.0-0.34","66009","775546","highRank"
"36","1","36","false","worst","context","context","100","660","bandit","bandit-task","43","258014","0.0-7.0-0.35","66009","775546","highRank"
"37","1","37","false","safe","risky","safe","50","588","bandit","bandit-task","44","261170","0.0-7.0-0.36","66009","775546","highRank"
"38","1","38","false","risky","safe","safe","50","661","bandit","bandit-task","45","264454","0.0-7.0-0.37","66009","775546","highRank"
"39","1","39","false","risky","safe","safe","50","745","bandit","bandit-task","46","267659","0.0-7.0-0.38","66009","775546","highRank"
"40","1","40","true","","","context","9","677","bandit","bandit-task","47","271166","0.0-7.0-0.39","66009","775546","highRank"
"41","1","41","false","worst","context","worst","0","614","bandit","bandit-task","48","274393","0.0-7.0-0.40","66009","775546","highRank"
"42","1","42","false","risky","safe","safe","50","665","bandit","bandit-task","49","277607","0.0-7.0-0.41","66009","775546","highRank"
"43","1","43","false","worst","context","context","55","729","bandit","bandit-task","50","281118","0.0-7.0-0.42","66009","775546","highRank"
"44","1","44","false","safe","risky","safe","50","1074","bandit","bandit-task","51","284771","0.0-7.0-0.43","66009","775546","highRank"
"45","2","1","false","context","worst","context","1","739","bandit","bandit-task","53","292740","0.0-9.0-0.0","66009","775546","highRank"
"46","2","2","false","risky","safe","safe","50","697","bandit","bandit-task","54","295823","0.0-9.0-0.1","66009","775546","highRank"
"47","2","3","true","","","risky","70","586","bandit","bandit-task","55","298911","0.0-9.0-0.2","66009","775546","highRank"
"48","2","4","false","context","worst","context","63","822","bandit","bandit-task","56","302301","0.0-9.0-0.3","66009","775546","highRank"
"49","2","5","false","safe","risky","safe","50","667","bandit","bandit-task","57","305757","0.0-9.0-0.4","66009","775546","highRank"
"50","2","6","false","context","worst","context","37","579","bandit","bandit-task","58","308708","0.0-9.0-0.5","66009","775546","highRank"
"51","2","7","false","worst","context","context","4","671","bandit","bandit-task","59","311711","0.0-9.0-0.6","66009","775546","highRank"
"52","2","8","false","risky","safe","risky","30","796","bandit","bandit-task","60","315012","0.0-9.0-0.7","66009","775546","highRank"
"53","2","9","false","context","worst","context","44","824","bandit","bandit-task","61","318489","0.0-9.0-0.8","66009","775546","highRank"
"54","2","10","false","worst","context","context","7","665","bandit","bandit-task","62","321720","0.0-9.0-0.9","66009","775546","highRank"
"55","2","11","false","risky","safe","safe","50","907","bandit","bandit-task","63","325278","0.0-9.0-0.10","66009","775546","highRank"
"56","2","12","false","worst","context","context","100","810","bandit","bandit-task","64","328643","0.0-9.0-0.11","66009","775546","highRank"
"57","2","13","false","context","worst","context","58","594","bandit","bandit-task","65","331697","0.0-9.0-0.12","66009","775546","highRank"
"58","2","14","false","worst","context","context","10","662","bandit","bandit-task","66","334843","0.0-9.0-0.13","66009","775546","highRank"
"59","2","15","true","","","risky","70","646","bandit","bandit-task","67","338048","0.0-9.0-0.14","66009","775546","highRank"
"60","2","16","true","","","worst","0","659","bandit","bandit-task","68","341203","0.0-9.0-0.15","66009","775546","highRank"
"61","2","17","false","context","worst","context","100","768","bandit","bandit-task","69","344882","0.0-9.0-0.16","66009","775546","highRank"
