"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","safe","risky","safe","50","2875","bandit","bandit-task","8","313849","0.0-7.0-0.0","16464","271591","lowRank"
"2","1","2","false","safe","risky","safe","50","1869","bandit","bandit-task","9","318666","0.0-7.0-0.1","16464","271591","lowRank"
"3","1","3","false","context","worst","worst","0","2658","bandit","bandit-task","10","324116","0.0-7.0-0.2","16464","271591","lowRank"
"4","1","4","false","safe","risky","safe","50","2208","bandit","bandit-task","11","329112","0.0-7.0-0.3","16464","271591","lowRank"
"5","1","5","false","safe","risky","safe","50","1670","bandit","bandit-task","12","333739","0.0-7.0-0.4","16464","271591","lowRank"
"6","1","6","false","worst","context","context","89","1257","bandit","bandit-task","13","337874","0.0-7.0-0.5","16464","271591","lowRank"
"7","1","7","false","safe","risky","risky","30","1860","bandit","bandit-task","14","342608","0.0-7.0-0.6","16464","271591","lowRank"
"8","1","8","false","context","worst","context","39","1716","bandit","bandit-task","15","347270","0.0-7.0-0.7","16464","271591","lowRank"
"9","1","9","false","safe","risky","safe","50","2400","bandit","bandit-task","16","352420","0.0-7.0-0.8","16464","271591","lowRank"
"10","1","10","true","","","context","58","1230","bandit","bandit-task","17","356704","0.0-7.0-0.9","16464","271591","lowRank"
"11","1","11","false","worst","context","context","65","1165","bandit","bandit-task","18","360531","0.0-7.0-0.10","16464","271591","lowRank"
"12","1","12","false","worst","context","context","36","926","bandit","bandit-task","19","364178","0.0-7.0-0.11","16464","271591","lowRank"
"13","1","13","false","context","worst","context","1","998","bandit","bandit-task","20","368000","0.0-7.0-0.12","16464","271591","lowRank"
"14","1","14","false","risky","safe","risky","70","1466","bandit","bandit-task","21","372091","0.0-7.0-0.13","16464","271591","lowRank"
"15","1","15","true","","","risky","70","956","bandit","bandit-task","22","375676","0.0-7.0-0.14","16464","271591","lowRank"
"16","1","16","true","","","safe","50","866","bandit","bandit-task","23","379277","0.0-7.0-0.15","16464","271591","lowRank"
"17","1","17","false","context","worst","context","1","2221","bandit","bandit-task","24","384108","0.0-7.0-0.16","16464","271591","lowRank"
"18","1","18","false","context","worst","worst","0","935","bandit","bandit-task","25","387671","0.0-7.0-0.17","16464","271591","lowRank"
"19","1","19","false","context","worst","context","60","1039","bandit","bandit-task","26","391321","0.0-7.0-0.18","16464","271591","lowRank"
"20","1","20","true","","","worst","0","1002","bandit","bandit-task","27","395195","0.0-7.0-0.19","16464","271591","lowRank"
"21","1","21","false","worst","context","context","93","1170","bandit","bandit-task","28","399183","0.0-7.0-0.20","16464","271591","lowRank"
"22","1","22","false","context","worst","context","97","1619","bandit","bandit-task","29","403425","0.0-7.0-0.21","16464","271591","lowRank"
"23","1","23","false","worst","context","context","1","1230","bandit","bandit-task","30","407435","0.0-7.0-0.22","16464","271591","lowRank"
"24","1","24","false","worst","context","context","1","970","bandit","bandit-task","31","411115","0.0-7.0-0.23","16464","271591","lowRank"
"25","1","25","false","safe","risky","safe","50","1407","bandit","bandit-task","32","415120","0.0-7.0-0.24","16464","271591","lowRank"
"26","1","26","true","","","worst","0","914","bandit","bandit-task","33","418516","0.0-7.0-0.25","16464","271591","lowRank"
"27","1","27","false","safe","risky","safe","50","1236","bandit","bandit-task","34","422433","0.0-7.0-0.26","16464","271591","lowRank"
"28","1","28","false","worst","context","context","88","1139","bandit","bandit-task","35","426131","0.0-7.0-0.27","16464","271591","lowRank"
"29","1","29","false","context","worst","context","90","1359","bandit","bandit-task","36","430069","0.0-7.0-0.28","16464","271591","lowRank"
"30","1","30","false","context","worst","context","1","1029","bandit","bandit-task","37","433672","0.0-7.0-0.29","16464","271591","lowRank"
"31","1","31","false","risky","safe","risky","70","1559","bandit","bandit-task","38","437790","0.0-7.0-0.30","16464","271591","lowRank"
"32","1","32","false","context","worst","context","1","1178","bandit","bandit-task","39","441551","0.0-7.0-0.31","16464","271591","lowRank"
"33","1","33","true","","","risky","70","978","bandit","bandit-task","40","445087","0.0-7.0-0.32","16464","271591","lowRank"
"34","1","34","false","risky","safe","safe","50","2346","bandit","bandit-task","41","449941","0.0-7.0-0.33","16464","271591","lowRank"
"35","1","35","false","context","worst","context","41","1039","bandit","bandit-task","42","453627","0.0-7.0-0.34","16464","271591","lowRank"
"36","1","36","false","context","worst","context","96","1063","bandit","bandit-task","43","457249","0.0-7.0-0.35","16464","271591","lowRank"
"37","1","37","false","safe","risky","safe","50","972","bandit","bandit-task","44","460796","0.0-7.0-0.36","16464","271591","lowRank"
"38","1","38","false","worst","context","context","100","1256","bandit","bandit-task","45","464669","0.0-7.0-0.37","16464","271591","lowRank"
"39","1","39","true","","","safe","50","834","bandit","bandit-task","46","468035","0.0-7.0-0.38","16464","271591","lowRank"
"40","1","40","false","context","worst","context","56","1174","bandit","bandit-task","47","471733","0.0-7.0-0.39","16464","271591","lowRank"
"41","1","41","false","worst","context","context","1","875","bandit","bandit-task","48","475196","0.0-7.0-0.40","16464","271591","lowRank"
"42","1","42","false","worst","context","context","92","1029","bandit","bandit-task","49","478737","0.0-7.0-0.41","16464","271591","lowRank"
"43","1","43","true","","","context","1","1139","bandit","bandit-task","50","482368","0.0-7.0-0.42","16464","271591","lowRank"
"44","1","44","false","worst","context","context","61","1414","bandit","bandit-task","51","486735","0.0-7.0-0.43","16464","271591","lowRank"
