"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","worst","context","context","80","2560","bandit","bandit-task","8","138738","0.0-7.0-0.0","79557","718907","lowRank"
"2","1","2","true","","","context","55","2685","bandit","bandit-task","9","144288","0.0-7.0-0.1","79557","718907","lowRank"
"3","1","3","false","worst","context","context","96","3070","bandit","bandit-task","10","150628","0.0-7.0-0.2","79557","718907","lowRank"
"4","1","4","false","context","worst","worst","0","1724","bandit","bandit-task","11","155340","0.0-7.0-0.3","79557","718907","lowRank"
"5","1","5","false","context","worst","context","97","1142","bandit","bandit-task","12","159463","0.0-7.0-0.4","79557","718907","lowRank"
"6","1","6","false","worst","context","context","1","962","bandit","bandit-task","13","163342","0.0-7.0-0.5","79557","718907","lowRank"
"7","1","7","false","risky","safe","risky","30","1942","bandit","bandit-task","14","168092","0.0-7.0-0.6","79557","718907","lowRank"
"8","1","8","true","","","safe","50","1276","bandit","bandit-task","15","172356","0.0-7.0-0.7","79557","718907","lowRank"
"9","1","9","false","context","worst","worst","0","3909","bandit","bandit-task","16","179019","0.0-7.0-0.8","79557","718907","lowRank"
"10","1","10","false","worst","context","worst","0","2177","bandit","bandit-task","17","183942","0.0-7.0-0.9","79557","718907","lowRank"
"11","1","11","false","worst","context","context","1","790","bandit","bandit-task","18","187500","0.0-7.0-0.10","79557","718907","lowRank"
"12","1","12","false","worst","context","context","61","1496","bandit","bandit-task","19","191904","0.0-7.0-0.11","79557","718907","lowRank"
"13","1","13","false","safe","risky","safe","50","1644","bandit","bandit-task","20","196552","0.0-7.0-0.12","79557","718907","lowRank"
"14","1","14","true","","","worst","0","1212","bandit","bandit-task","21","200550","0.0-7.0-0.13","79557","718907","lowRank"
"15","1","15","false","context","worst","context","1","1408","bandit","bandit-task","22","204734","0.0-7.0-0.14","79557","718907","lowRank"
"16","1","16","false","worst","context","context","83","2090","bandit","bandit-task","23","209554","0.0-7.0-0.15","79557","718907","lowRank"
"17","1","17","true","","","context","1","1080","bandit","bandit-task","24","213614","0.0-7.0-0.16","79557","718907","lowRank"
"18","1","18","false","risky","safe","risky","30","2301","bandit","bandit-task","25","218762","0.0-7.0-0.17","79557","718907","lowRank"
"19","1","19","false","safe","risky","risky","70","2484","bandit","bandit-task","26","224742","0.0-7.0-0.18","79557","718907","lowRank"
"20","1","20","false","context","worst","context","38","2694","bandit","bandit-task","27","230636","0.0-7.0-0.19","79557","718907","lowRank"
"21","1","21","false","risky","safe","safe","50","2358","bandit","bandit-task","28","235800","0.0-7.0-0.20","79557","718907","lowRank"
"22","1","22","false","risky","safe","risky","70","4646","bandit","bandit-task","29","243128","0.0-7.0-0.21","79557","718907","lowRank"
"23","1","23","false","context","worst","context","40","2089","bandit","bandit-task","30","247886","0.0-7.0-0.22","79557","718907","lowRank"
"24","1","24","false","safe","risky","safe","50","3062","bandit","bandit-task","31","253872","0.0-7.0-0.23","79557","718907","lowRank"
"25","1","25","false","risky","safe","safe","50","2804","bandit","bandit-task","32","259438","0.0-7.0-0.24","79557","718907","lowRank"
"26","1","26","true","","","risky","30","1282","bandit","bandit-task","33","263552","0.0-7.0-0.25","79557","718907","lowRank"
"27","1","27","false","safe","risky","risky","30","1706","bandit","bandit-task","34","268247","0.0-7.0-0.26","79557","718907","lowRank"
"28","1","28","false","risky","safe","risky","70","2749","bandit","bandit-task","35","273732","0.0-7.0-0.27","79557","718907","lowRank"
"29","1","29","false","context","worst","context","1","2124","bandit","bandit-task","36","278522","0.0-7.0-0.28","79557","718907","lowRank"
"30","1","30","false","context","worst","context","1","1542","bandit","bandit-task","37","282714","0.0-7.0-0.29","79557","718907","lowRank"
"31","1","31","false","context","worst","worst","0","1298","bandit","bandit-task","38","286734","0.0-7.0-0.30","79557","718907","lowRank"
"32","1","32","false","context","worst","worst","0","1244","bandit","bandit-task","39","290526","0.0-7.0-0.31","79557","718907","lowRank"
"33","1","33","false","worst","context","worst","0","1120","bandit","bandit-task","40","294248","0.0-7.0-0.32","79557","718907","lowRank"
"34","1","34","false","worst","context","context","92","805","bandit","bandit-task","41","297940","0.0-7.0-0.33","79557","718907","lowRank"
"35","1","35","false","context","worst","context","63","1126","bandit","bandit-task","42","301764","0.0-7.0-0.34","79557","718907","lowRank"
"36","1","36","true","","","worst","0","930","bandit","bandit-task","43","305432","0.0-7.0-0.35","79557","718907","lowRank"
"37","1","37","false","risky","safe","safe","50","1760","bandit","bandit-task","44","309853","0.0-7.0-0.36","79557","718907","lowRank"
"38","1","38","false","context","worst","context","36","1721","bandit","bandit-task","45","315408","0.0-7.0-0.37","79557","718907","lowRank"
"39","1","39","false","context","worst","context","82","1627","bandit","bandit-task","46","319960","0.0-7.0-0.38","79557","718907","lowRank"
"40","1","40","true","","","risky","30","977","bandit","bandit-task","47","323690","0.0-7.0-0.39","79557","718907","lowRank"
"41","1","41","false","risky","safe","safe","50","1111","bandit","bandit-task","48","327460","0.0-7.0-0.40","79557","718907","lowRank"
"42","1","42","true","","","safe","50","1024","bandit","bandit-task","49","331128","0.0-7.0-0.41","79557","718907","lowRank"
"43","1","43","false","worst","context","context","60","897","bandit","bandit-task","50","334725","0.0-7.0-0.42","79557","718907","lowRank"
"44","1","44","false","worst","context","worst","0","2543","bandit","bandit-task","51","340358","0.0-7.0-0.43","79557","718907","lowRank"
"45","2","1","false","worst","context","context","41","2765","bandit","bandit-task","53","363056","0.0-9.0-0.0","79557","718907","lowRank"
"46","2","2","true","","","context","1","1050","bandit","bandit-task","54","366678","0.0-9.0-0.1","79557","718907","lowRank"
"47","2","3","false","context","worst","worst","0","1800","bandit","bandit-task","55","371158","0.0-9.0-0.2","79557","718907","lowRank"
"48","2","4","false","context","worst","context","85","790","bandit","bandit-task","56","374692","0.0-9.0-0.3","79557","718907","lowRank"
"49","2","5","false","context","worst","context","1","830","bandit","bandit-task","57","378030","0.0-9.0-0.4","79557","718907","lowRank"
"50","2","6","false","worst","context","context","93","1526","bandit","bandit-task","58","382334","0.0-9.0-0.5","79557","718907","lowRank"
"51","2","7","false","risky","safe","risky","30","2316","bandit","bandit-task","59","387270","0.0-9.0-0.6","79557","718907","lowRank"
"52","2","8","true","","","safe","50","790","bandit","bandit-task","60","390702","0.0-9.0-0.7","79557","718907","lowRank"
"53","2","9","false","worst","context","context","90","1305","bandit","bandit-task","61","395066","0.0-9.0-0.8","79557","718907","lowRank"
"54","2","10","false","context","worst","context","87","1526","bandit","bandit-task","62","399312","0.0-9.0-0.9","79557","718907","lowRank"
"55","2","11","false","worst","context","worst","0","1016","bandit","bandit-task","63","402862","0.0-9.0-0.10","79557","718907","lowRank"
"56","2","12","false","context","worst","context","1","1322","bandit","bandit-task","64","407124","0.0-9.0-0.11","79557","718907","lowRank"
"57","2","13","false","risky","safe","safe","50","3508","bandit","bandit-task","65","413182","0.0-9.0-0.12","79557","718907","lowRank"
"58","2","14","true","","","worst","0","1056","bandit","bandit-task","66","417154","0.0-9.0-0.13","79557","718907","lowRank"
"59","2","15","false","context","worst","context","1","2592","bandit","bandit-task","67","422350","0.0-9.0-0.14","79557","718907","lowRank"
"60","2","16","false","worst","context","context","64","1392","bandit","bandit-task","68","426622","0.0-9.0-0.15","79557","718907","lowRank"
"61","2","17","true","","","context","1","1077","bandit","bandit-task","69","430508","0.0-9.0-0.16","79557","718907","lowRank"
"62","2","18","false","safe","risky","safe","50","1689","bandit","bandit-task","70","434910","0.0-9.0-0.17","79557","718907","lowRank"
"63","2","19","false","risky","safe","safe","50","823","bandit","bandit-task","71","438522","0.0-9.0-0.18","79557","718907","lowRank"
"64","2","20","false","context","worst","context","45","3085","bandit","bandit-task","72","444398","0.0-9.0-0.19","79557","718907","lowRank"
"65","2","21","false","risky","safe","safe","50","1251","bandit","bandit-task","73","448394","0.0-9.0-0.20","79557","718907","lowRank"
"66","2","22","false","risky","safe","safe","50","1268","bandit","bandit-task","74","452226","0.0-9.0-0.21","79557","718907","lowRank"
"67","2","23","false","worst","context","context","81","2191","bandit","bandit-task","75","457168","0.0-9.0-0.22","79557","718907","lowRank"
"68","2","24","false","risky","safe","safe","50","1127","bandit","bandit-task","76","461008","0.0-9.0-0.23","79557","718907","lowRank"
"69","2","25","false","safe","risky","safe","50","1315","bandit","bandit-task","77","465082","0.0-9.0-0.24","79557","718907","lowRank"
"70","2","26","true","","","risky","30","1330","bandit","bandit-task","78","469108","0.0-9.0-0.25","79557","718907","lowRank"
"71","2","27","false","safe","risky","safe","50","1533","bandit","bandit-task","79","473202","0.0-9.0-0.26","79557","718907","lowRank"
"72","2","28","false","risky","safe","safe","50","783","bandit","bandit-task","80","476644","0.0-9.0-0.27","79557","718907","lowRank"
"73","2","29","false","worst","context","context","57","2395","bandit","bandit-task","81","482082","0.0-9.0-0.28","79557","718907","lowRank"
"74","2","30","false","worst","context","worst","0","2723","bandit","bandit-task","82","487394","0.0-9.0-0.29","79557","718907","lowRank"
"75","2","31","false","context","worst","context","59","1047","bandit","bandit-task","83","491146","0.0-9.0-0.30","79557","718907","lowRank"
"76","2","32","false","context","worst","context","1","2551","bandit","bandit-task","84","496396","0.0-9.0-0.31","79557","718907","lowRank"
"77","2","33","false","worst","context","context","35","1298","bandit","bandit-task","85","500414","0.0-9.0-0.32","79557","718907","lowRank"
"78","2","34","false","worst","context","context","39","1502","bandit","bandit-task","86","504615","0.0-9.0-0.33","79557","718907","lowRank"
"79","2","35","false","worst","context","context","89","2135","bandit","bandit-task","87","509400","0.0-9.0-0.34","79557","718907","lowRank"
"80","2","36","true","","","worst","0","1659","bandit","bandit-task","88","513756","0.0-9.0-0.35","79557","718907","lowRank"
"81","2","37","false","risky","safe","safe","50","782","bandit","bandit-task","89","517282","0.0-9.0-0.36","79557","718907","lowRank"
"82","2","38","false","worst","context","context","1","1948","bandit","bandit-task","90","522076","0.0-9.0-0.37","79557","718907","lowRank"
"83","2","39","false","worst","context","context","65","1565","bandit","bandit-task","91","526362","0.0-9.0-0.38","79557","718907","lowRank"
"84","2","40","true","","","risky","30","2065","bandit","bandit-task","92","531368","0.0-9.0-0.39","79557","718907","lowRank"
"85","2","41","false","safe","risky","safe","50","1502","bandit","bandit-task","93","535708","0.0-9.0-0.40","79557","718907","lowRank"
"86","2","42","true","","","safe","50","937","bandit","bandit-task","94","539274","0.0-9.0-0.41","79557","718907","lowRank"
"87","2","43","false","context","worst","context","100","2976","bandit","bandit-task","95","545228","0.0-9.0-0.42","79557","718907","lowRank"
"88","2","44","false","context","worst","context","1","2183","bandit","bandit-task","96","550336","0.0-9.0-0.43","79557","718907","lowRank"
