"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","worst","context","context","59","2676","bandit","bandit-task","8","143551","0.0-7.0-0.0","41455","400169","lowRank"
"2","1","2","true","","","context","63","1699","bandit","bandit-task","9","148661","0.0-7.0-0.1","41455","400169","lowRank"
"3","1","3","false","worst","context","context","83","2438","bandit","bandit-task","10","154717","0.0-7.0-0.2","41455","400169","lowRank"
"4","1","4","false","worst","context","worst","0","1395","bandit","bandit-task","11","159719","0.0-7.0-0.3","41455","400169","lowRank"
"5","1","5","true","","","worst","0","1088","bandit","bandit-task","12","163516","0.0-7.0-0.4","41455","400169","lowRank"
"6","1","6","true","","","safe","50","933","bandit","bandit-task","13","167520","0.0-7.0-0.5","41455","400169","lowRank"
"7","1","7","false","risky","safe","safe","50","1021","bandit","bandit-task","14","171248","0.0-7.0-0.6","41455","400169","lowRank"
"8","1","8","false","safe","risky","safe","50","943","bandit","bandit-task","15","175120","0.0-7.0-0.7","41455","400169","lowRank"
"9","1","9","true","","","context","55","1000","bandit","bandit-task","16","178983","0.0-7.0-0.8","41455","400169","lowRank"
"10","1","10","false","context","worst","context","56","2052","bandit","bandit-task","17","184202","0.0-7.0-0.9","41455","400169","lowRank"
"11","1","11","false","worst","context","context","43","1000","bandit","bandit-task","18","188128","0.0-7.0-0.10","41455","400169","lowRank"
"12","1","12","true","","","worst","0","984","bandit","bandit-task","19","192246","0.0-7.0-0.11","41455","400169","lowRank"
"13","1","13","false","worst","context","context","1","923","bandit","bandit-task","20","196083","0.0-7.0-0.12","41455","400169","lowRank"
"14","1","14","false","risky","safe","safe","50","1307","bandit","bandit-task","21","200549","0.0-7.0-0.13","41455","400169","lowRank"
"15","1","15","false","worst","context","context","86","1159","bandit","bandit-task","22","204628","0.0-7.0-0.14","41455","400169","lowRank"
"16","1","16","false","worst","context","context","37","887","bandit","bandit-task","23","208467","0.0-7.0-0.15","41455","400169","lowRank"
"17","1","17","false","safe","risky","safe","50","1365","bandit","bandit-task","24","213022","0.0-7.0-0.16","41455","400169","lowRank"
"18","1","18","false","context","worst","worst","0","1519","bandit","bandit-task","25","217292","0.0-7.0-0.17","41455","400169","lowRank"
"19","1","19","false","context","worst","context","91","889","bandit","bandit-task","26","220986","0.0-7.0-0.18","41455","400169","lowRank"
"20","1","20","false","worst","context","context","98","855","bandit","bandit-task","27","224583","0.0-7.0-0.19","41455","400169","lowRank"
"21","1","21","false","worst","context","context","1","871","bandit","bandit-task","28","228253","0.0-7.0-0.20","41455","400169","lowRank"
"22","1","22","false","context","worst","context","1","850","bandit","bandit-task","29","232282","0.0-7.0-0.21","41455","400169","lowRank"
"23","1","23","false","context","worst","context","1","911","bandit","bandit-task","30","236457","0.0-7.0-0.22","41455","400169","lowRank"
"24","1","24","false","worst","context","context","90","705","bandit","bandit-task","31","240231","0.0-7.0-0.23","41455","400169","lowRank"
"25","1","25","false","worst","context","context","82","935","bandit","bandit-task","32","244047","0.0-7.0-0.24","41455","400169","lowRank"
"26","1","26","false","context","worst","context","44","788","bandit","bandit-task","33","247537","0.0-7.0-0.25","41455","400169","lowRank"
"27","1","27","false","safe","risky","risky","70","1961","bandit","bandit-task","34","252420","0.0-7.0-0.26","41455","400169","lowRank"
"28","1","28","false","safe","risky","risky","70","747","bandit","bandit-task","35","256203","0.0-7.0-0.27","41455","400169","lowRank"
"29","1","29","false","risky","safe","safe","50","1423","bandit","bandit-task","36","260580","0.0-7.0-0.28","41455","400169","lowRank"
"30","1","30","false","risky","safe","safe","50","1165","bandit","bandit-task","37","264692","0.0-7.0-0.29","41455","400169","lowRank"
"31","1","31","false","worst","context","context","1","1127","bandit","bandit-task","38","268337","0.0-7.0-0.30","41455","400169","lowRank"
"32","1","32","false","worst","context","worst","0","679","bandit","bandit-task","39","271725","0.0-7.0-0.31","41455","400169","lowRank"
"33","1","33","true","","","risky","70","690","bandit","bandit-task","40","275275","0.0-7.0-0.32","41455","400169","lowRank"
"34","1","34","false","context","worst","worst","0","806","bandit","bandit-task","41","278855","0.0-7.0-0.33","41455","400169","lowRank"
"35","1","35","false","risky","safe","risky","70","1000","bandit","bandit-task","42","282825","0.0-7.0-0.34","41455","400169","lowRank"
"36","1","36","false","risky","safe","risky","30","1249","bandit","bandit-task","43","287149","0.0-7.0-0.35","41455","400169","lowRank"
"37","1","37","false","worst","context","context","97","1283","bandit","bandit-task","44","291301","0.0-7.0-0.36","41455","400169","lowRank"
"38","1","38","false","worst","context","context","80","831","bandit","bandit-task","45","294873","0.0-7.0-0.37","41455","400169","lowRank"
"39","1","39","false","safe","risky","risky","70","1011","bandit","bandit-task","46","298898","0.0-7.0-0.38","41455","400169","lowRank"
"40","1","40","true","","","risky","70","850","bandit","bandit-task","47","302598","0.0-7.0-0.39","41455","400169","lowRank"
"41","1","41","false","worst","context","context","1","1018","bandit","bandit-task","48","306344","0.0-7.0-0.40","41455","400169","lowRank"
"42","1","42","false","safe","risky","risky","30","2824","bandit","bandit-task","49","312520","0.0-7.0-0.41","41455","400169","lowRank"
"43","1","43","false","context","worst","context","1","1805","bandit","bandit-task","50","317217","0.0-7.0-0.42","41455","400169","lowRank"
"44","1","44","true","","","safe","50","857","bandit","bandit-task","51","320910","0.0-7.0-0.43","41455","400169","lowRank"
"45","2","1","false","context","worst","worst","0","5097","bandit","bandit-task","53","333929","0.0-9.0-0.0","41455","400169","lowRank"
"46","2","2","true","","","context","39","788","bandit","bandit-task","54","337718","0.0-9.0-0.1","41455","400169","lowRank"
