"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","true","","","risky","30","1193","bandit","bandit-task","8","110010","0.0-7.0-0.0","94013","875352","highRank"
"2","1","2","true","","","context","62","673","bandit","bandit-task","9","113641","0.0-7.0-0.1","94013","875352","highRank"
"3","1","3","false","risky","safe","risky","70","1097","bandit","bandit-task","10","117401","0.0-7.0-0.2","94013","875352","highRank"
"4","1","4","false","worst","context","context","38","577","bandit","bandit-task","11","120505","0.0-7.0-0.3","94013","875352","highRank"
"5","1","5","false","context","worst","context","17","666","bandit","bandit-task","12","123697","0.0-7.0-0.4","94013","875352","highRank"
"6","1","6","true","","","worst","0","610","bandit","bandit-task","13","126840","0.0-7.0-0.5","94013","875352","highRank"
"7","1","7","true","","","safe","50","570","bandit","bandit-task","14","129896","0.0-7.0-0.6","94013","875352","highRank"
"8","1","8","false","context","worst","context","60","755","bandit","bandit-task","15","133057","0.0-7.0-0.7","94013","875352","highRank"
"9","1","9","false","worst","context","context","100","906","bandit","bandit-task","16","136377","0.0-7.0-0.8","94013","875352","highRank"
"10","1","10","false","worst","context","context","6","1139","bandit","bandit-task","17","140041","0.0-7.0-0.9","94013","875352","highRank"
"11","1","11","false","worst","context","context","19","626","bandit","bandit-task","18","143186","0.0-7.0-0.10","94013","875352","highRank"
"12","1","12","false","context","worst","context","39","784","bandit","bandit-task","19","146385","0.0-7.0-0.11","94013","875352","highRank"
"13","1","13","false","risky","safe","risky","70","834","bandit","bandit-task","20","149697","0.0-7.0-0.12","94013","875352","highRank"
"14","1","14","false","safe","risky","risky","70","761","bandit","bandit-task","21","152944","0.0-7.0-0.13","94013","875352","highRank"
"15","1","15","false","safe","risky","risky","30","769","bandit","bandit-task","22","156192","0.0-7.0-0.14","94013","875352","highRank"
"16","1","16","false","worst","context","context","10","763","bandit","bandit-task","23","159424","0.0-7.0-0.15","94013","875352","highRank"
"17","1","17","false","safe","risky","safe","50","888","bandit","bandit-task","24","162792","0.0-7.0-0.16","94013","875352","highRank"
"18","1","18","false","context","worst","worst","0","1079","bandit","bandit-task","25","166385","0.0-7.0-0.17","94013","875352","highRank"
"19","1","19","true","","","worst","0","594","bandit","bandit-task","26","169381","0.0-7.0-0.18","94013","875352","highRank"
"20","1","20","false","safe","risky","safe","50","1365","bandit","bandit-task","27","173153","0.0-7.0-0.19","94013","875352","highRank"
"21","1","21","false","context","worst","context","100","993","bandit","bandit-task","28","176609","0.0-7.0-0.20","94013","875352","highRank"
"22","1","22","false","worst","context","context","100","737","bandit","bandit-task","29","179873","0.0-7.0-0.21","94013","875352","highRank"
"23","1","23","false","risky","safe","risky","30","1087","bandit","bandit-task","30","183345","0.0-7.0-0.22","94013","875352","highRank"
"24","1","24","false","safe","risky","safe","50","665","bandit","bandit-task","31","186528","0.0-7.0-0.23","94013","875352","highRank"
"25","1","25","true","","","risky","30","618","bandit","bandit-task","32","189616","0.0-7.0-0.24","94013","875352","highRank"
"26","1","26","true","","","safe","50","601","bandit","bandit-task","33","192648","0.0-7.0-0.25","94013","875352","highRank"
"27","1","27","false","worst","context","context","35","810","bandit","bandit-task","34","195912","0.0-7.0-0.26","94013","875352","highRank"
"28","1","28","false","risky","safe","safe","50","1336","bandit","bandit-task","35","199658","0.0-7.0-0.27","94013","875352","highRank"
"29","1","29","false","worst","context","context","100","1127","bandit","bandit-task","36","203249","0.0-7.0-0.28","94013","875352","highRank"
"30","1","30","false","worst","context","context","100","697","bandit","bandit-task","37","206353","0.0-7.0-0.29","94013","875352","highRank"
"31","1","31","false","context","worst","context","3","786","bandit","bandit-task","38","209544","0.0-7.0-0.30","94013","875352","highRank"
"32","1","32","false","context","worst","context","100","697","bandit","bandit-task","39","212592","0.0-7.0-0.31","94013","875352","highRank"
"33","1","33","true","","","context","55","561","bandit","bandit-task","40","215537","0.0-7.0-0.32","94013","875352","highRank"
