"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","safe","risky","risky","30","3727","bandit","bandit-task","8","206454","0.0-7.0-0.0","85439","768849","lowRank"
"2","1","2","false","risky","safe","risky","70","939","bandit","bandit-task","9","212458","0.0-7.0-0.1","85439","768849","lowRank"
"3","1","3","true","","","risky","70","4118","bandit","bandit-task","10","219578","0.0-7.0-0.2","85439","768849","lowRank"
"4","1","4","true","","","context","93","4868","bandit","bandit-task","11","228601","0.0-7.0-0.3","85439","768849","lowRank"
"5","1","5","false","worst","context","context","45","2988","bandit","bandit-task","12","235287","0.0-7.0-0.4","85439","768849","lowRank"
"6","1","6","false","risky","safe","safe","50","2435","bandit","bandit-task","13","241679","0.0-7.0-0.5","85439","768849","lowRank"
"7","1","7","false","worst","context","worst","0","1127","bandit","bandit-task","14","246780","0.0-7.0-0.6","85439","768849","lowRank"
"8","1","8","false","risky","safe","safe","50","4831","bandit","bandit-task","15","256866","0.0-7.0-0.7","85439","768849","lowRank"
"9","1","9","false","worst","context","context","81","2111","bandit","bandit-task","16","262553","0.0-7.0-0.8","85439","768849","lowRank"
"10","1","10","false","context","worst","context","99","4106","bandit","bandit-task","17","270677","0.0-7.0-0.9","85439","768849","lowRank"
"11","1","11","true","","","worst","0","4092","bandit","bandit-task","18","278212","0.0-7.0-0.10","85439","768849","lowRank"
"12","1","12","false","context","worst","context","96","2861","bandit","bandit-task","19","284068","0.0-7.0-0.11","85439","768849","lowRank"
"13","1","13","true","","","risky","70","4398","bandit","bandit-task","20","291781","0.0-7.0-0.12","85439","768849","lowRank"
"14","1","14","false","context","worst","context","1","3262","bandit","bandit-task","21","299384","0.0-7.0-0.13","85439","768849","lowRank"
"15","1","15","false","context","worst","worst","0","4054","bandit","bandit-task","22","315733","0.0-7.0-0.14","85439","768849","lowRank"
"16","1","16","false","worst","context","context","1","4698","bandit","bandit-task","23","324259","0.0-7.0-0.15","85439","768849","lowRank"
"17","1","17","false","worst","context","worst","0","1149","bandit","bandit-task","24","331873","0.0-7.0-0.16","85439","768849","lowRank"
"18","1","18","false","context","worst","context","86","1425","bandit","bandit-task","25","336927","0.0-7.0-0.17","85439","768849","lowRank"
"19","1","19","false","worst","context","context","1","3497","bandit","bandit-task","26","345225","0.0-7.0-0.18","85439","768849","lowRank"
"20","1","20","false","worst","context","context","1","3668","bandit","bandit-task","27","352977","0.0-7.0-0.19","85439","768849","lowRank"
"21","1","21","false","context","worst","context","1","3123","bandit","bandit-task","28","359422","0.0-7.0-0.20","85439","768849","lowRank"
"22","1","22","false","risky","safe","safe","50","3286","bandit","bandit-task","29","366192","0.0-7.0-0.21","85439","768849","lowRank"
"23","1","23","true","","","safe","50","3128","bandit","bandit-task","30","372483","0.0-7.0-0.22","85439","768849","lowRank"
"24","1","24","false","safe","risky","risky","70","2856","bandit","bandit-task","31","378833","0.0-7.0-0.23","85439","768849","lowRank"
"25","1","25","false","context","worst","context","37","4232","bandit","bandit-task","32","385854","0.0-7.0-0.24","85439","768849","lowRank"
"26","1","26","true","","","context","98","5056","bandit","bandit-task","33","393675","0.0-7.0-0.25","85439","768849","lowRank"
"27","1","27","false","context","worst","context","91","3159","bandit","bandit-task","34","400137","0.0-7.0-0.26","85439","768849","lowRank"
"28","1","28","false","risky","safe","risky","70","4306","bandit","bandit-task","35","408156","0.0-7.0-0.27","85439","768849","lowRank"
"29","1","29","false","safe","risky","safe","50","3498","bandit","bandit-task","36","416786","0.0-7.0-0.28","85439","768849","lowRank"
"30","1","30","false","worst","context","context","43","1133","bandit","bandit-task","37","422072","0.0-7.0-0.29","85439","768849","lowRank"
"31","1","31","false","risky","safe","risky","30","7829","bandit","bandit-task","38","434071","0.0-7.0-0.30","85439","768849","lowRank"
"32","1","32","true","","","safe","50","2291","bandit","bandit-task","39","439640","0.0-7.0-0.31","85439","768849","lowRank"
"33","1","33","false","worst","context","context","55","4261","bandit","bandit-task","40","448361","0.0-7.0-0.32","85439","768849","lowRank"
"34","1","34","false","risky","safe","risky","30","2951","bandit","bandit-task","41","456431","0.0-7.0-0.33","85439","768849","lowRank"
"35","1","35","false","context","worst","context","1","3273","bandit","bandit-task","42","462885","0.0-7.0-0.34","85439","768849","lowRank"
"36","1","36","false","context","worst","context","1","3375","bandit","bandit-task","43","470533","0.0-7.0-0.35","85439","768849","lowRank"
"37","1","37","false","worst","context","context","1","2588","bandit","bandit-task","44","476873","0.0-7.0-0.36","85439","768849","lowRank"
"38","1","38","false","risky","safe","safe","50","3649","bandit","bandit-task","45","483778","0.0-7.0-0.37","85439","768849","lowRank"
"39","1","39","true","","","worst","0","2967","bandit","bandit-task","46","490350","0.0-7.0-0.38","85439","768849","lowRank"
"40","1","40","false","context","worst","context","63","3208","bandit","bandit-task","47","496924","0.0-7.0-0.39","85439","768849","lowRank"
"41","1","41","false","context","worst","context","61","2863","bandit","bandit-task","48","502658","0.0-7.0-0.40","85439","768849","lowRank"
"42","1","42","false","safe","risky","risky","70","3128","bandit","bandit-task","49","509174","0.0-7.0-0.41","85439","768849","lowRank"
"43","1","43","false","worst","context","context","44","3058","bandit","bandit-task","50","515818","0.0-7.0-0.42","85439","768849","lowRank"
"44","1","44","false","worst","context","context","65","3187","bandit","bandit-task","51","521848","0.0-7.0-0.43","85439","768849","lowRank"
"45","2","1","false","safe","risky","safe","50","6135","bandit","bandit-task","53","540012","0.0-9.0-0.0","85439","768849","lowRank"
"46","2","2","false","safe","risky","risky","70","3136","bandit","bandit-task","54","547199","0.0-9.0-0.1","85439","768849","lowRank"
"47","2","3","true","","","risky","70","93443","bandit","bandit-task","55","648242","0.0-9.0-0.2","85439","768849","lowRank"
"48","2","4","true","","","context","90","35721","bandit","bandit-task","56","689806","0.0-9.0-0.3","85439","768849","lowRank"
"49","2","5","false","worst","context","context","1","2253","bandit","bandit-task","57","695317","0.0-9.0-0.4","85439","768849","lowRank"
"50","2","6","false","safe","risky","risky","70","3745","bandit","bandit-task","58","701914","0.0-9.0-0.5","85439","768849","lowRank"
"51","2","7","false","context","worst","context","1","2688","bandit","bandit-task","59","709128","0.0-9.0-0.6","85439","768849","lowRank"
"52","2","8","false","risky","safe","safe","50","2359","bandit","bandit-task","60","715884","0.0-9.0-0.7","85439","768849","lowRank"
"53","2","9","false","context","worst","context","60","2494","bandit","bandit-task","61","724329","0.0-9.0-0.8","85439","768849","lowRank"
"54","2","10","false","worst","context","context","64","1242","bandit","bandit-task","62","730003","0.0-9.0-0.9","85439","768849","lowRank"
"55","2","11","true","","","worst","0","2644","bandit","bandit-task","63","736194","0.0-9.0-0.10","85439","768849","lowRank"
"56","2","12","false","worst","context","context","1","2224","bandit","bandit-task","64","743821","0.0-9.0-0.11","85439","768849","lowRank"
"57","2","13","true","","","risky","70","2569","bandit","bandit-task","65","749132","0.0-9.0-0.12","85439","768849","lowRank"
"58","2","14","false","worst","context","context","58","2822","bandit","bandit-task","66","755466","0.0-9.0-0.13","85439","768849","lowRank"
"59","2","15","false","context","worst","context","35","2083","bandit","bandit-task","67","760385","0.0-9.0-0.14","85439","768849","lowRank"
"60","2","16","false","context","worst","context","82","6061","bandit","bandit-task","68","769254","0.0-9.0-0.15","85439","768849","lowRank"
"61","2","17","false","context","worst","context","42","5851","bandit","bandit-task","69","779068","0.0-9.0-0.16","85439","768849","lowRank"
"62","2","18","false","context","worst","context","1","3909","bandit","bandit-task","70","786175","0.0-9.0-0.17","85439","768849","lowRank"
"63","2","19","false","context","worst","context","92","5561","bandit","bandit-task","71","794891","0.0-9.0-0.18","85439","768849","lowRank"
"64","2","20","false","context","worst","context","100","2772","bandit","bandit-task","72","805092","0.0-9.0-0.19","85439","768849","lowRank"
"65","2","21","false","context","worst","context","88","2868","bandit","bandit-task","73","811382","0.0-9.0-0.20","85439","768849","lowRank"
"66","2","22","false","risky","safe","risky","70","3523","bandit","bandit-task","74","820732","0.0-9.0-0.21","85439","768849","lowRank"
"67","2","23","true","","","safe","50","3356","bandit","bandit-task","75","827274","0.0-9.0-0.22","85439","768849","lowRank"
"68","2","24","false","safe","risky","safe","50","7181","bandit","bandit-task","76","837337","0.0-9.0-0.23","85439","768849","lowRank"
"69","2","25","false","context","worst","context","1","4947","bandit","bandit-task","77","845703","0.0-9.0-0.24","85439","768849","lowRank"
"70","2","26","true","","","context","36","2025","bandit","bandit-task","78","851293","0.0-9.0-0.25","85439","768849","lowRank"
"71","2","27","false","context","worst","context","40","2783","bandit","bandit-task","79","860199","0.0-9.0-0.26","85439","768849","lowRank"
"72","2","28","false","risky","safe","risky","30","3526","bandit","bandit-task","80","869632","0.0-9.0-0.27","85439","768849","lowRank"
"73","2","29","false","safe","risky","safe","50","3218","bandit","bandit-task","81","875956","0.0-9.0-0.28","85439","768849","lowRank"
"74","2","30","false","context","worst","context","95","4552","bandit","bandit-task","82","883860","0.0-9.0-0.29","85439","768849","lowRank"
"75","2","31","false","risky","safe","safe","50","3506","bandit","bandit-task","83","890133","0.0-9.0-0.30","85439","768849","lowRank"
"76","2","32","true","","","safe","50","2847","bandit","bandit-task","84","896833","0.0-9.0-0.31","85439","768849","lowRank"
"77","2","33","false","context","worst","context","83","2885","bandit","bandit-task","85","902865","0.0-9.0-0.32","85439","768849","lowRank"
"78","2","34","false","risky","safe","safe","50","3476","bandit","bandit-task","86","910037","0.0-9.0-0.33","85439","768849","lowRank"
"79","2","35","false","context","worst","context","85","7724","bandit","bandit-task","87","924812","0.0-9.0-0.34","85439","768849","lowRank"
"80","2","36","false","worst","context","context","1","4437","bandit","bandit-task","88","932814","0.0-9.0-0.35","85439","768849","lowRank"
"81","2","37","false","worst","context","context","1","1052","bandit","bandit-task","89","937269","0.0-9.0-0.36","85439","768849","lowRank"
"82","2","38","false","risky","safe","risky","30","1070","bandit","bandit-task","90","944314","0.0-9.0-0.37","85439","768849","lowRank"
"83","2","39","true","","","worst","0","1040","bandit","bandit-task","91","950962","0.0-9.0-0.38","85439","768849","lowRank"
"84","2","40","false","worst","context","context","1","1600","bandit","bandit-task","92","955599","0.0-9.0-0.39","85439","768849","lowRank"
"85","2","41","false","context","worst","context","84","3858","bandit","bandit-task","93","962937","0.0-9.0-0.40","85439","768849","lowRank"
"86","2","42","false","safe","risky","safe","50","1493","bandit","bandit-task","94","967229","0.0-9.0-0.41","85439","768849","lowRank"
"87","2","43","false","worst","context","context","38","1535","bandit","bandit-task","95","971557","0.0-9.0-0.42","85439","768849","lowRank"
"88","2","44","false","worst","context","context","1","1129","bandit","bandit-task","96","975614","0.0-9.0-0.43","85439","768849","lowRank"
"89","3","1","false","safe","risky","safe","50","2809","bandit","bandit-task","98","988656","0.0-11.0-0.0","85439","768849","lowRank"
"90","3","2","false","risky","safe","safe","50","3684","bandit","bandit-task","99","996949","0.0-11.0-0.1","85439","768849","lowRank"
"91","3","3","true","","","risky","70","751","bandit","bandit-task","100","1001640","0.0-11.0-0.2","85439","768849","lowRank"
"92","3","4","true","","","context","1","3031","bandit","bandit-task","101","1008744","0.0-11.0-0.3","85439","768849","lowRank"
"93","3","5","false","worst","context","context","1","3209","bandit","bandit-task","102","1016921","0.0-11.0-0.4","85439","768849","lowRank"
"94","3","6","false","risky","safe","risky","70","897","bandit","bandit-task","103","1022590","0.0-11.0-0.5","85439","768849","lowRank"
"95","3","7","false","context","worst","context","59","1151","bandit","bandit-task","104","1027413","0.0-11.0-0.6","85439","768849","lowRank"
"96","3","8","false","safe","risky","safe","50","3505","bandit","bandit-task","105","1034473","0.0-11.0-0.7","85439","768849","lowRank"
"97","3","9","false","worst","context","context","37","3228","bandit","bandit-task","106","1040526","0.0-11.0-0.8","85439","768849","lowRank"
