"banditTrial","block","trialInBlock","singleOption","leftOption","rightOption","choice","feedback","rt","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"1","1","1","false","context","worst","worst","0","1695","bandit","bandit-task","8","146852","0.0-7.0-0.0","95572","264321","highRank"
"2","1","2","true","","","risky","30","1253","bandit","bandit-task","9","151026","0.0-7.0-0.1","95572","264321","highRank"
"3","1","3","false","context","worst","worst","0","3712","bandit","bandit-task","10","158322","0.0-7.0-0.2","95572","264321","highRank"
"4","1","4","false","safe","risky","risky","70","1750","bandit","bandit-task","11","162787","0.0-7.0-0.3","95572","264321","highRank"
"5","1","5","false","context","worst","context","5","966","bandit","bandit-task","12","166475","0.0-7.0-0.4","95572","264321","highRank"
"6","1","6","false","context","worst","context","9","949","bandit","bandit-task","13","170786","0.0-7.0-0.5","95572","264321","highRank"
"7","1","7","false","worst","context","context","57","1086","bandit","bandit-task","14","175340","0.0-7.0-0.6","95572","264321","highRank"
"8","1","8","false","worst","context","context","35","846","bandit","bandit-task","15","179100","0.0-7.0-0.7","95572","264321","highRank"
"9","1","9","true","","","risky","70","923","bandit","bandit-task","16","182715","0.0-7.0-0.8","95572","264321","highRank"
"10","1","10","false","context","worst","context","100","1069","bandit","bandit-task","17","186508","0.0-7.0-0.9","95572","264321","highRank"
"11","1","11","false","safe","risky","risky","70","1132","bandit","bandit-task","18","190243","0.0-7.0-0.10","95572","264321","highRank"
"12","1","12","false","safe","risky","risky","30","998","bandit","bandit-task","19","194667","0.0-7.0-0.11","95572","264321","highRank"
"13","1","13","false","context","worst","context","100","1054","bandit","bandit-task","20","199171","0.0-7.0-0.12","95572","264321","highRank"
"14","1","14","false","worst","context","context","100","1181","bandit","bandit-task","21","203147","0.0-7.0-0.13","95572","264321","highRank"
"15","1","15","true","","","worst","0","990","bandit","bandit-task","22","206915","0.0-7.0-0.14","95572","264321","highRank"
"16","1","16","false","worst","context","context","1","879","bandit","bandit-task","23","210386","0.0-7.0-0.15","95572","264321","highRank"
"17","1","17","false","context","worst","context","55","798","bandit","bandit-task","24","213875","0.0-7.0-0.16","95572","264321","highRank"
"18","1","18","true","","","worst","0","1031","bandit","bandit-task","25","217507","0.0-7.0-0.17","95572","264321","highRank"
"19","1","19","false","worst","context","context","45","1103","bandit","bandit-task","26","221563","0.0-7.0-0.18","95572","264321","highRank"
"20","1","20","false","safe","risky","risky","70","1054","bandit","bandit-task","27","225107","0.0-7.0-0.19","95572","264321","highRank"
"21","1","21","false","context","worst","context","100","1220","bandit","bandit-task","28","229100","0.0-7.0-0.20","95572","264321","highRank"
"22","1","22","false","worst","context","context","39","739","bandit","bandit-task","29","232507","0.0-7.0-0.21","95572","264321","highRank"
"23","1","23","true","","","safe","50","877","bandit","bandit-task","30","236267","0.0-7.0-0.22","95572","264321","highRank"
"24","1","24","true","","","safe","50","975","bandit","bandit-task","31","239890","0.0-7.0-0.23","95572","264321","highRank"
"25","1","25","true","","","context","100","829","bandit","bandit-task","32","243378","0.0-7.0-0.24","95572","264321","highRank"
"26","1","26","false","worst","context","context","13","1022","bandit","bandit-task","33","247011","0.0-7.0-0.25","95572","264321","highRank"
"27","1","27","false","context","worst","context","100","1215","bandit","bandit-task","34","250731","0.0-7.0-0.26","95572","264321","highRank"
"28","1","28","false","risky","safe","risky","30","1150","bandit","bandit-task","35","254531","0.0-7.0-0.27","95572","264321","highRank"
"29","1","29","false","worst","context","context","62","1031","bandit","bandit-task","36","258202","0.0-7.0-0.28","95572","264321","highRank"
"30","1","30","false","context","worst","context","56","855","bandit","bandit-task","37","261603","0.0-7.0-0.29","95572","264321","highRank"
"31","1","31","false","context","worst","context","100","1102","bandit","bandit-task","38","265291","0.0-7.0-0.30","95572","264321","highRank"
"32","1","32","false","safe","risky","risky","70","1710","bandit","bandit-task","39","269675","0.0-7.0-0.31","95572","264321","highRank"
"33","1","33","false","worst","context","context","36","1030","bandit","bandit-task","40","273203","0.0-7.0-0.32","95572","264321","highRank"
"34","1","34","false","worst","context","context","15","974","bandit","bandit-task","41","276626","0.0-7.0-0.33","95572","264321","highRank"
"35","1","35","false","safe","risky","safe","50","1079","bandit","bandit-task","42","280227","0.0-7.0-0.34","95572","264321","highRank"
"36","1","36","false","worst","context","context","12","928","bandit","bandit-task","43","283994","0.0-7.0-0.35","95572","264321","highRank"
"37","1","37","false","risky","safe","risky","30","1143","bandit","bandit-task","44","287779","0.0-7.0-0.36","95572","264321","highRank"
"38","1","38","false","safe","risky","safe","50","1220","bandit","bandit-task","45","291555","0.0-7.0-0.37","95572","264321","highRank"
"39","1","39","true","","","context","11","765","bandit","bandit-task","46","294859","0.0-7.0-0.38","95572","264321","highRank"
"40","1","40","false","safe","risky","risky","30","2810","bandit","bandit-task","47","300627","0.0-7.0-0.39","95572","264321","highRank"
"41","1","41","false","context","worst","context","100","926","bandit","bandit-task","48","304211","0.0-7.0-0.40","95572","264321","highRank"
"42","1","42","false","risky","safe","safe","50","1301","bandit","bandit-task","49","308050","0.0-7.0-0.41","95572","264321","highRank"
"43","1","43","false","risky","safe","safe","50","999","bandit","bandit-task","50","312611","0.0-7.0-0.42","95572","264321","highRank"
"44","1","44","false","context","worst","context","18","1022","bandit","bandit-task","51","316323","0.0-7.0-0.43","95572","264321","highRank"
"45","2","1","false","worst","context","context","8","1440","bandit","bandit-task","53","326275","0.0-9.0-0.0","95572","264321","highRank"
"46","2","2","true","","","risky","70","775","bandit","bandit-task","54","329794","0.0-9.0-0.1","95572","264321","highRank"
"47","2","3","false","context","worst","context","59","992","bandit","bandit-task","55","333299","0.0-9.0-0.2","95572","264321","highRank"
"48","2","4","false","safe","risky","safe","50","1239","bandit","bandit-task","56","337195","0.0-9.0-0.3","95572","264321","highRank"
"49","2","5","false","context","worst","context","100","1070","bandit","bandit-task","57","340731","0.0-9.0-0.4","95572","264321","highRank"
"50","2","6","false","worst","context","context","100","1007","bandit","bandit-task","58","344539","0.0-9.0-0.5","95572","264321","highRank"
"51","2","7","false","context","worst","context","14","951","bandit","bandit-task","59","348171","0.0-9.0-0.6","95572","264321","highRank"
"52","2","8","false","context","worst","context","2","839","bandit","bandit-task","60","351443","0.0-9.0-0.7","95572","264321","highRank"
"53","2","9","true","","","risky","30","831","bandit","bandit-task","61","354771","0.0-9.0-0.8","95572","264321","highRank"
"54","2","10","false","context","worst","context","100","946","bandit","bandit-task","62","358186","0.0-9.0-0.9","95572","264321","highRank"
"55","2","11","false","risky","safe","safe","50","1931","bandit","bandit-task","63","362731","0.0-9.0-0.10","95572","264321","highRank"
"56","2","12","false","safe","risky","safe","50","1641","bandit","bandit-task","64","367011","0.0-9.0-0.11","95572","264321","highRank"
"57","2","13","false","context","worst","context","43","1016","bandit","bandit-task","65","370459","0.0-9.0-0.12","95572","264321","highRank"
"58","2","14","false","context","worst","context","7","1165","bandit","bandit-task","66","374283","0.0-9.0-0.13","95572","264321","highRank"
"59","2","15","true","","","worst","0","846","bandit","bandit-task","67","377716","0.0-9.0-0.14","95572","264321","highRank"
"60","2","16","false","worst","context","context","100","1261","bandit","bandit-task","68","381683","0.0-9.0-0.15","95572","264321","highRank"
"61","2","17","false","context","worst","context","100","1023","bandit","bandit-task","69","386083","0.0-9.0-0.16","95572","264321","highRank"
"62","2","18","true","","","worst","0","790","bandit","bandit-task","70","389674","0.0-9.0-0.17","95572","264321","highRank"
"63","2","19","false","worst","context","context","20","990","bandit","bandit-task","71","393450","0.0-9.0-0.18","95572","264321","highRank"
"64","2","20","false","risky","safe","safe","50","1638","bandit","bandit-task","72","397691","0.0-9.0-0.19","95572","264321","highRank"
"65","2","21","false","context","worst","context","100","1141","bandit","bandit-task","73","401539","0.0-9.0-0.20","95572","264321","highRank"
"66","2","22","false","context","worst","context","61","1044","bandit","bandit-task","74","405187","0.0-9.0-0.21","95572","264321","highRank"
"67","2","23","true","","","safe","50","694","bandit","bandit-task","75","408434","0.0-9.0-0.22","95572","264321","highRank"
"68","2","24","true","","","safe","50","1006","bandit","bandit-task","76","411900","0.0-9.0-0.23","95572","264321","highRank"
"69","2","25","true","","","context","19","758","bandit","bandit-task","77","415258","0.0-9.0-0.24","95572","264321","highRank"
"70","2","26","false","worst","context","context","10","1086","bandit","bandit-task","78","419108","0.0-9.0-0.25","95572","264321","highRank"
"71","2","27","false","context","worst","context","65","987","bandit","bandit-task","79","422923","0.0-9.0-0.26","95572","264321","highRank"
"72","2","28","false","risky","safe","safe","50","1434","bandit","bandit-task","80","426923","0.0-9.0-0.27","95572","264321","highRank"
"73","2","29","false","context","worst","context","60","1035","bandit","bandit-task","81","430587","0.0-9.0-0.28","95572","264321","highRank"
"74","2","30","false","context","worst","context","100","904","bandit","bandit-task","82","434163","0.0-9.0-0.29","95572","264321","highRank"
"75","2","31","false","context","worst","context","64","908","bandit","bandit-task","83","437579","0.0-9.0-0.30","95572","264321","highRank"
"76","2","32","false","risky","safe","safe","50","1284","bandit","bandit-task","84","441450","0.0-9.0-0.31","95572","264321","highRank"
"77","2","33","false","worst","context","context","37","1525","bandit","bandit-task","85","445907","0.0-9.0-0.32","95572","264321","highRank"
"78","2","34","false","worst","context","context","100","877","bandit","bandit-task","86","449283","0.0-9.0-0.33","95572","264321","highRank"
"79","2","35","false","safe","risky","safe","50","1150","bandit","bandit-task","87","453290","0.0-9.0-0.34","95572","264321","highRank"
"80","2","36","false","worst","context","context","17","1094","bandit","bandit-task","88","457002","0.0-9.0-0.35","95572","264321","highRank"
"81","2","37","false","risky","safe","safe","50","1333","bandit","bandit-task","89","461042","0.0-9.0-0.36","95572","264321","highRank"
"82","2","38","false","risky","safe","safe","50","807","bandit","bandit-task","90","464756","0.0-9.0-0.37","95572","264321","highRank"
"83","2","39","true","","","context","58","813","bandit","bandit-task","91","468499","0.0-9.0-0.38","95572","264321","highRank"
"84","2","40","false","safe","risky","safe","50","1103","bandit","bandit-task","92","472244","0.0-9.0-0.39","95572","264321","highRank"
"85","2","41","false","context","worst","context","100","964","bandit","bandit-task","93","475827","0.0-9.0-0.40","95572","264321","highRank"
"86","2","42","false","safe","risky","safe","50","957","bandit","bandit-task","94","479579","0.0-9.0-0.41","95572","264321","highRank"
"87","2","43","false","risky","safe","safe","50","1607","bandit","bandit-task","95","483899","0.0-9.0-0.42","95572","264321","highRank"
"88","2","44","false","context","worst","context","63","1057","bandit","bandit-task","96","487787","0.0-9.0-0.43","95572","264321","highRank"
"89","3","1","false","context","worst","context","38","1047","bandit","bandit-task","98","498323","0.0-11.0-0.0","95572","264321","highRank"
"90","3","2","true","","","risky","70","682","bandit","bandit-task","99","501698","0.0-11.0-0.1","95572","264321","highRank"
"91","3","3","false","context","worst","context","20","789","bandit","bandit-task","100","505451","0.0-11.0-0.2","95572","264321","highRank"
"92","3","4","false","safe","risky","safe","50","997","bandit","bandit-task","101","509315","0.0-11.0-0.3","95572","264321","highRank"
"93","3","5","false","context","worst","context","100","966","bandit","bandit-task","102","513139","0.0-11.0-0.4","95572","264321","highRank"
"94","3","6","false","context","worst","context","41","1014","bandit","bandit-task","103","517022","0.0-11.0-0.5","95572","264321","highRank"
"95","3","7","false","context","worst","context","44","1274","bandit","bandit-task","104","520730","0.0-11.0-0.6","95572","264321","highRank"
"96","3","8","false","context","worst","context","2","751","bandit","bandit-task","105","523939","0.0-11.0-0.7","95572","264321","highRank"
"97","3","9","true","","","risky","30","694","bandit","bandit-task","106","527242","0.0-11.0-0.8","95572","264321","highRank"
"98","3","10","false","worst","context","context","3","1374","bandit","bandit-task","107","531418","0.0-11.0-0.9","95572","264321","highRank"
"99","3","11","false","risky","safe","safe","50","1060","bandit","bandit-task","108","535283","0.0-11.0-0.10","95572","264321","highRank"
"100","3","12","false","safe","risky","safe","50","871","bandit","bandit-task","109","538930","0.0-11.0-0.11","95572","264321","highRank"
"101","3","13","false","worst","context","context","58","943","bandit","bandit-task","110","542330","0.0-11.0-0.12","95572","264321","highRank"
"102","3","14","false","worst","context","context","100","1039","bandit","bandit-task","111","546258","0.0-11.0-0.13","95572","264321","highRank"
"103","3","15","true","","","worst","0","1138","bandit","bandit-task","112","550139","0.0-11.0-0.14","95572","264321","highRank"
"104","3","16","false","context","worst","context","100","1303","bandit","bandit-task","113","554067","0.0-11.0-0.15","95572","264321","highRank"
"105","3","17","false","worst","context","context","40","1202","bandit","bandit-task","114","557731","0.0-11.0-0.16","95572","264321","highRank"
"106","3","18","true","","","worst","0","1324","bandit","bandit-task","115","561890","0.0-11.0-0.17","95572","264321","highRank"
"107","3","19","false","worst","context","context","42","782","bandit","bandit-task","116","565555","0.0-11.0-0.18","95572","264321","highRank"
"108","3","20","false","safe","risky","safe","50","1109","bandit","bandit-task","117","569242","0.0-11.0-0.19","95572","264321","highRank"
"109","3","21","false","context","worst","context","4","934","bandit","bandit-task","118","573059","0.0-11.0-0.20","95572","264321","highRank"
"110","3","22","false","worst","context","context","100","862","bandit","bandit-task","119","576506","0.0-11.0-0.21","95572","264321","highRank"
"111","3","23","true","","","safe","50","694","bandit","bandit-task","120","579650","0.0-11.0-0.22","95572","264321","highRank"
"112","3","24","true","","","safe","50","774","bandit","bandit-task","121","582978","0.0-11.0-0.23","95572","264321","highRank"
"113","3","25","true","","","context","16","734","bandit","bandit-task","122","586651","0.0-11.0-0.24","95572","264321","highRank"
"114","3","26","false","context","worst","context","16","829","bandit","bandit-task","123","590075","0.0-11.0-0.25","95572","264321","highRank"
"115","3","27","false","context","worst","context","6","939","bandit","bandit-task","124","593474","0.0-11.0-0.26","95572","264321","highRank"
"116","3","28","false","safe","risky","safe","50","1070","bandit","bandit-task","125","597002","0.0-11.0-0.27","95572","264321","highRank"
"117","3","29","false","context","worst","context","100","926","bandit","bandit-task","126","600507","0.0-11.0-0.28","95572","264321","highRank"
"118","3","30","false","worst","context","context","100","1003","bandit","bandit-task","127","604466","0.0-11.0-0.29","95572","264321","highRank"
"119","3","31","false","worst","context","context","1","1158","bandit","bandit-task","128","608315","0.0-11.0-0.30","95572","264321","highRank"
"120","3","32","false","safe","risky","safe","50","966","bandit","bandit-task","129","611762","0.0-11.0-0.31","95572","264321","highRank"
"121","3","33","false","worst","context","context","57","1201","bandit","bandit-task","130","615466","0.0-11.0-0.32","95572","264321","highRank"
"122","3","34","false","worst","context","context","100","807","bandit","bandit-task","131","619026","0.0-11.0-0.33","95572","264321","highRank"
"123","3","35","false","safe","risky","safe","50","969","bandit","bandit-task","132","623067","0.0-11.0-0.34","95572","264321","highRank"
"124","3","36","false","worst","context","context","100","937","bandit","bandit-task","133","627138","0.0-11.0-0.35","95572","264321","highRank"
"125","3","37","false","safe","risky","safe","50","1137","bandit","bandit-task","134","631082","0.0-11.0-0.36","95572","264321","highRank"
