"rt","responses","question_order","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"7929.315000001225","{""colourBlindness"":""8""}","[0]","demographics","survey-multi-choice","3","53927","0.0-3.0","42500","462725","highRank"
"15657","{""Q0"":""59"",""Q1"":""Female"",""Q2"":""English"",""Q3"":""USA""}","","demographics","survey-text","4","69592","0.0-4.0","42500","462725","highRank"
