"rt","responses","question_order","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"5020.815000001676","{""colourBlindness"":""8""}","[0]","demographics","survey-multi-choice","3","53070","0.0-3.0","48434","570634","highRank"
"10692","{""Q0"":""26"",""Q1"":""female"",""Q2"":""english"",""Q3"":""US""}","","demographics","survey-text","4","63781","0.0-4.0","48434","570634","highRank"
