"rt","responses","question_order","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"2413.5549999773502","{""colourBlindness"":""8""}","[0]","demographics","survey-multi-choice","3","35108","0.0-3.0","879","992457","lowRank"
"7656","{""Q0"":""666"",""Q1"":""666"",""Q2"":""666"",""Q3"":""666""}","","demographics","survey-text","4","42786","0.0-4.0","879","992457","lowRank"
