"rt","responses","question_order","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"14088.839999999429","{""colourBlindness"":""8""}","[0]","demographics","survey-multi-choice","3","78317","0.0-3.0","55730","412599","highRank"
"19785","{""Q0"":""58"",""Q1"":""Female"",""Q2"":""English"",""Q3"":""United States""}","","demographics","survey-text","4","98123","0.0-4.0","55730","412599","highRank"
