"rt","responses","question_order","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"4461.255000000165","{""colourBlindness"":""8""}","[0]","demographics","survey-multi-choice","3","17192","0.0-3.0","85111","393098","lowRank"
"6645","{""Q0"":""30"",""Q1"":""male"",""Q2"":""English"",""Q3"":""United States""}","","demographics","survey-text","4","23843","0.0-4.0","85111","393098","lowRank"
